Time_s,Agent_ID,X_m,Y_m,Z_m,Altitude_m,Velocity_m_s,Heading_deg,Status
34.4,B0200,33044.666348123494,1825.6311289642672,5968.91452318198,6054.617669519931,318.9671418461708,173.79527504917178,ALIVE
34.6,A0100,-32344.83510954301,-529.9183023041332,5986.40532092148,6068.291506942007,345.03729699498166,354.51415144193055,ALIVE
34.6,A0200,-34227.78603399341,3788.3386786874344,7190.330750747053,7283.107554588971,303.59223250723625,3.4217528636820336,ALIVE
34.6,B0100,38524.28108422198,-7356.429646819439,6775.758661964997,6896.099719543827,277.59734072982667,178.75019559377662,ALIVE
34.6,B0200,32981.35946885029,1833.0105139055922,5968.438812764563,6053.817010701388,317.54725912880025,174.9422623588953,ALIVE
34.800000000000004,A0100,-32276.095469215245,-535.9788679397989,5986.9121024077285,6068.45119823024,345.0792052452299,354.616774621304,ALIVE
34.800000000000004,A0200,-34167.208975261085,3792.400905911307,7190.687569347196,7283.142631266744,303.4337032550718,3.2958601228067925,ALIVE
34.800000000000004,B0100,38468.60942782372,-7359.810462118154,6775.908770053304,6895.918365550563,278.82645643000126,181.24747922600008,ALIVE
34.800000000000004,B0200,32918.153720231,1840.0237055043708,5968.902200517676,6053.95648885772,317.7269489567072,174.52763476663466,ALIVE
35.0,A0100,-32207.405517747007,-542.0564327823158,5987.325427360474,6068.5184313413865,344.4192899063257,354.4569722631701,ALIVE
35.0,A0200,-34106.673428865164,3796.453799778652,7191.107831812162,7283.241943690244,303.27169935112613,3.3889469828468513,ALIVE
35.0,B0100,38412.8997629564,-7363.14323815916,6775.425133793162,6895.103482098368,278.3263336531269,181.30616923489458,ALIVE
35.0,B0200,32854.99704431847,1846.9454169531382,5969.456519030418,6054.187755369196,317.4815647252785,174.64753931782295,ALIVE
35.2,A0100,-32138.79243052181,-548.1641688426171,5987.743544220484,6068.591589718813,344.4699832226033,354.564978658256,ALIVE
35.2,A0200,-34046.1681428135,3800.4915447111944,7191.127361204264,7282.941257007713,302.7171597835428,3.1400516254762763,ALIVE
35.2,B0100,38357.314435905864,-7366.442900645832,6774.551234917053,6893.899538746834,277.5957815272902,181.1216402219541,ALIVE
35.2,B0200,32791.837361986516,1853.8126696108047,5969.339812757509,6053.748606487352,317.4958934855447,174.5304515597899,ALIVE
35.4,A0100,-32070.227777673623,-554.2940850664054,5988.062966454167,6068.5670423617785,343.82006169689424,354.4043895338977,ALIVE
35.4,A0200,-33985.72320359706,3804.4962682835194,7190.764171598739,7282.258733457658,302.8410433043527,3.3043146869572873,ALIVE
35.4,B0100,38301.89563903448,-7369.744483514101,6773.454462647105,6892.474211446256,276.69541162412213,181.0095833052247,ALIVE
35.4,B0200,32728.699302167886,1860.6230495147938,5968.961956351623,6053.049036722375,317.2403223104163,174.45239665219043,ALIVE
35.6,A0100,-32001.738686832497,-560.4604281164666,5988.38429876235,6068.545528307739,343.8812816172568,354.51602456732246,ALIVE
35.6,A0200,-33925.286694306735,3808.4939157106874,7190.1714002832,7281.34724615914,302.75953295975944,3.2134915494389182,ALIVE
35.6,B0100,38246.66394794669,-7373.057186612305,6772.495160392593,6891.187966284666,275.972479501601,181.31758778636387,ALIVE
35.6,B0200,32665.60958915251,1867.3816791608551,5968.766306062549,6052.53253376172,317.2166544581014,174.39428015959106,ALIVE
35.800000000000004,A0100,-31933.296448825695,-566.653220358703,5988.604946626814,6068.424307636419,343.242069654428,354.35328443224853,ALIVE
35.800000000000004,A0200,-33864.873295488425,3812.478246315235,7189.635214658403,7280.493032227001,302.73257324091594,3.3537158570806014,ALIVE
35.800000000000004,B0100,38191.56173359578,-7376.183441138814,6772.517811205798,6890.88469381452,274.5919083244952,181.08619308717257,ALIVE
35.800000000000004,B0200,32602.525477032577,1874.1049496873202,5968.743744198628,6052.189765170622,316.9696800128673,174.19667650650396,ALIVE
36.0,A0100,-31864.92823699157,-572.8879616801532,5988.825833162011,6068.304437655956,343.314255518277,354.46733896438775,ALIVE
