Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg,Action_Intent
221.60000000000002,A0200,-31993.955652270764,9001.119749096617,7208.985363049287,236.41284839367174,178.17257364867672,2.783329244027616,-2.0478546132420044,
221.60000000000002,B0200,30183.017664937648,-21773.45989620172,5241.843477384426,369.82792660141087,194.2188468659658,-57.05792880131497,80.08647624753247,defensive_positioning
221.8,A0200,-32041.230624364973,9002.618516813918,7208.4710864702465,236.52902270039814,178.26845249399136,6.484109409260733,2.2400978366244626,
221.8,B0200,30144.893589472747,-21777.976846939593,5178.586937049795,370.16426322957966,198.89020519472328,-57.042891617845164,82.14147105806897,defensive_positioning
222.0,A0200,-32088.473481448844,9004.07910569772,7208.594343954561,236.02506732154862,178.25186594687372,8.430239497594476,5.250214504855942,
222.0,B0200,30107.31290302392,-21785.527594597967,5115.218635872014,370.4852915708273,203.61245619265637,-57.14631661186711,84.2785073131079,defensive_positioning
222.20000000000002,A0200,-32135.59014076554,9005.468834928304,7209.471628441397,235.43523180214518,177.76715260252584,5.8303222183247465,2.0183761978566803,
222.20000000000002,B0200,30070.608411876667,-21796.0562223933,5051.687167217597,370.8038703970851,208.41104664043402,-57.36903664222901,86.4166001812632,defensive_positioning
222.4,A0200,-32182.590956366763,9006.868296646497,7210.898727325559,235.10966623637134,177.92671019651223,2.261687039682114,-2.4713947043891764,
222.4,B0200,30035.11194073566,-21809.46410760239,4987.9377476731515,371.12275825933,213.29390262734333,-57.70744551579978,88.53153632679383,defensive_positioning
222.60000000000002,A0200,-32229.58855113289,9008.281102348805,7212.114742835287,235.258882079388,178.3599854269024,-1.1891842878911951,1.1825990963898811,
222.60000000000002,B0200,30001.170817855997,-21825.709343366296,4923.953669229777,371.1559485078171,218.16775483819416,-57.82423823468869,80.62050527849456,defensive_positioning
222.8,A0200,-32276.608563025584,9009.68440372358,7212.634599237854,235.07969593743493,178.06501566881613,-4.2975093686610455,1.9971565588744873,
222.8,B0200,29968.92952923973,-21844.883499588024,4859.99291451377,370.32260598648844,223.01997393642904,-57.72256248661952,78.42823610705787,defensive_positioning
223.0,A0200,-32323.55444065466,9011.108781589583,7212.4297494495095,234.62145940234922,178.04923229718375,-6.413041931030715,1.2201545509415683,
223.0,B0200,29938.454313279944,-21866.68119933141,4796.218622447826,369.38568957184805,227.89956933476657,-57.60574279116315,80.27375808115923,defensive_positioning
223.20000000000002,A0200,-32370.4112014095,9012.537479547884,7211.369795703144,234.31129680971446,177.94389853840343,-4.420647933686974,0.8835173359320896,
223.20000000000002,B0200,29909.981101496076,-21890.987268022625,4732.544283109031,369.32509182925253,231.74515673893055,-57.15928603381506,73.1937505935531,attack_maneuver
223.4,A0200,-32417.222781751567,9013.982252998749,7210.033008543114,234.3299793077033,178.05024649892252,-0.5596120582162598,0.07891810032421447,
223.4,B0200,29883.46116864935,-21917.94029370616,4669.1050394413,369.2887995151417,235.36063099604277,-56.278576824587454,61.38901896998013,attack_maneuver
223.60000000000002,A0200,-32464.077046512903,9015.42460056699,7208.680701403782,234.59139023499665,178.234142616727,3.541028734043761,4.454068835664191,
