步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
512,1.5839070411291063,1.7041717210747913,2632.6290995093223,0.16028922505533627,"[[4, 0, 2, 29]]","[[33, 0, 1, 29]]"
513,1.5576333840819307,1.7309601851642824,2627.246095434157,0.15766574777871822,"[[29, 0, 1, 29]]","[[10, 0, 1, 29]]"
514,1.5300693442141189,1.7655032817784364,2619.8085453878157,0.1549147426086216,"[[5, 0, 1, 29]]","[[5, 0, 1, 29]]"
515,1.502560928026945,1.791356287445785,2610.11288748667,0.15217098511698765,"[[33, 0, 2, 29]]","[[33, 0, 1, 29]]"
516,1.4755003216213847,1.8181988837031464,2598.657201991692,0.14947336266747174,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
517,1.4413444023953548,1.8528443140591444,2584.8763086443732,0.14606802073728992,"[[0, 0, 1, 29]]","[[5, 0, 1, 29]]"
518,1.4155628379612821,1.8787731226331792,2568.841948460994,0.14350192874250103,"[[33, 0, 2, 29]]","[[33, 0, 1, 29]]"
519,1.3891310701975272,1.9057127872859811,2551.1062794736226,0.14087227307808448,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
520,1.3548655459788452,1.940486362695433,2531.0958418052155,0.13746120339176088,"[[0, 0, 1, 29]]","[[5, 0, 1, 29]]"
521,1.3290371333485553,1.966505437665761,2508.877382112708,0.13489584252635858,"[[33, 0, 2, 29]]","[[33, 0, 1, 29]]"
522,1.3022358647645178,1.9935659845412745,2484.980196905999,0.13223486557120198,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
523,1.2675683286983757,2.028491443278871,2458.8555643335394,0.12878947253880718,"[[5, 0, 2, 29]]","[[5, 0, 1, 29]]"
524,1.2415057486813332,2.0546223500932057,2430.578314363595,0.12620685245971427,"[[29, 0, 2, 29]]","[[33, 0, 1, 29]]"
525,1.2144618217453274,2.08182498577206,2400.656909249084,0.12352807821086681,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
526,1.1795613958383329,2.1169221970045236,2368.5800910896787,0.12006621808204547,"[[5, 0, 2, 29]]","[[5, 0, 1, 29]]"
527,1.1533277317159396,2.1431862650269227,2334.4272903759575,0.11747370901686924,"[[29, 0, 2, 29]]","[[33, 0, 1, 29]]"
528,1.126107104039503,2.170551828928657,2298.6801814027017,0.11478492577547654,"[[5, 0, 1, 29]]","[[5, 0, 1, 29]]"
529,1.0910004407515101,2.2058427177760587,2260.8687315619522,0.11131060560342645,"[[5, 0, 2, 29]]","[[5, 0, 1, 29]]"
530,1.0645991110034028,2.232264266581017,2221.0751043558753,0.10871006006704201,"[[29, 0, 2, 29]]","[[33, 0, 9, 29]]"
531,1.03717731398508,2.2598203650539124,2179.7492088596564,0.1060105214083297,"[[5, 0, 1, 29]]","[[5, 0, 1, 29]]"
532,1.0018285295285343,2.2953323909889956,2136.4657115576006,0.10252207176369295,"[[2, 0, 2, 29]]","[[11, 0, 2, 29]]"
533,0.9752279106414694,2.3219506744096354,2091.3087938772587,0.09991249568835517,"[[29, 0, 9, 29]]","[[33, 0, 9, 29]]"
534,0.9475627148405888,2.3497430825890353,2044.6926031088537,0.0972004314680181,"[[5, 0, 1, 29]]","[[5, 0, 1, 29]]"
535,0.9119289383356135,2.3855390017406486,1996.2399212408839,0.09369634869986179,"[[2, 0, 2, 29]]","[[5, 0, 2, 29]]"
536,0.8850773758130693,2.4124137750748567,1946.0364745087275,0.09107574288858378,"[[29, 0, 9, 29]]","[[29, 0, 9, 29]]"
537,0.8571096165088898,2.4405107573500526,1894.4571021260253,0.0883488477810429,"[[5, 0, 1, 29]]","[[5, 0, 1, 29]]"
538,0.8211633058782588,2.468701657294105,1841.2199624594498,0.08483044730672451,"[[2, 0, 2, 29]]","[[33, 0, 2, 29]]"
539,0.7941775177811708,2.496634093831833,1786.493237099601,0.08221496515841108,"[[29, 0, 9, 29]]","[[6, 0, 1, 29]]"
540,0.7658600233921949,2.531765881193022,1730.3694249543857,0.07947388976979008,"[[6, 0, 1, 29]]","[[6, 0, 1, 29]]"
541,0.7294840614590931,2.5586022494509235,1672.7299407301953,0.07593574590624044,"[[5, 0, 2, 29]]","[[33, 0, 1, 29]]"
