步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
109,0.04374294368683564,2.9186738549541507,1149.1797965393703,0.008721440801827202,"[[4, 0, 4, 8]]","[[4, 0, 4, 1]]"
110,0.036170398478821,2.9459618089186406,1080.1855098656135,0.008241593131639555,"[[4, 0, 4, 8]]","[[29, 0, 4, 1]]"
111,0.022736279142244548,2.9713520728033167,1008.3188932177571,0.007227463648003063,"[[29, 0, 4, 18]]","[[6, 0, 4, 1]]"
112,0.010607710700608458,2.996385012319572,933.8387972020874,0.006409286787385244,"[[4, 0, 4, 8]]","[[29, 0, 4, 1]]"
113,0.00814453422148509,3.0156244817694304,857.018959456831,0.006641830480535716,"[[4, 0, 4, 8]]","[[6, 0, 4, 1]]"
114,0.03140972069596283,3.0393674341801473,778.0487892946988,0.009559055338202196,"[[29, 0, 4, 18]]","[[5, 0, 4, 4]]"
115,0.047735996536758134,3.066177561700539,697.2993457132185,0.011933852675097702,"[[33, 0, 19, 20]]","[[29, 0, 9, 1]]"
116,0.059028782531820825,3.0935688064947047,615.088188771266,0.014018599494279178,"[[4, 0, 19, 11]]","[[6, 0, 9, 8]]"
117,0.07569711860218442,3.123958031252586,531.5581168094918,0.016958358549061633,"[[4, 0, 19, 0]]","[[29, 0, 9, 1]]"
118,0.10709476025549933,3.1286244088567736,447.1166924944524,0.021867283988844893,"[[4, 4, 19, 0]]","[[6, 0, 4, 4]]"
119,0.15848345830677493,3.0841697526617016,362.1318957096616,0.02961744752368245,"[[4, 4, 13, 0]]","[[6, 0, 1, 22]]"
120,0.23993318630262478,3.0117320680710984,277.31776495899015,0.0419583953501648,"[[6, 0, 13, 0]]","[[6, 0, 38, 1]]"
121,0.38010564324036766,2.8785877303044454,194.22685876373066,0.06362179441636309,"[[4, 0, 13, 0]]","[[6, 0, 38, 1]]"
122,0.6755037223471961,2.5801018580244857,117.37995711721545,0.10978725187008885,"[[23, 0, 13, 0]]","[[6, 0, 38, 1]]"
123,1.5200774564570811,1.7213067723675661,70.79044488557993,0.22165489726830961,"[[23, 0, 13, 0]]","[[6, 0, 38, 1]]"
124,2.491974295405302,0.7513440187241834,106.45269723609172,0.295729532769304,"[[6, 0, 19, 11]]","[[29, 0, 2, 1]]"
125,2.851608880931039,0.4018361070461888,180.71118161875066,0.31267708140304856,"[[6, 0, 19, 22]]","[[6, 0, 17, 22]]"
126,3.0080324945921944,0.24016040664359992,262.46793570920056,0.31978089084294625,"[[29, 0, 18, 27]]","[[6, 0, 18, 22]]"
127,3.1035476456212727,0.14768757581040903,346.1715503033985,0.3247568663346672,"[[7, 0, 18, 28]]","[[24, 0, 9, 22]]"
128,3.1039130504132824,0.07914469077183328,430.40981622707557,0.32198121285503506,"[[7, 0, 18, 28]]","[[8, 0, 9, 22]]"
129,3.0502924692256435,0.01764513203798872,514.5811975835966,0.31472704044846056,"[[33, 0, 18, 28]]","[[8, 0, 9, 22]]"
130,3.0029105621945678,0.02769222381194288,598.4656990513694,0.30863181701346437,"[[8, 0, 6, 28]]","[[24, 0, 9, 22]]"
131,2.9534622472413448,0.07041892975884458,681.8587518435589,0.3026683832034703,"[[8, 0, 18, 28]]","[[8, 0, 1, 22]]"
132,2.915721939386755,0.11658534554807358,764.5423637283366,0.29810351112881645,"[[33, 0, 18, 28]]","[[8, 0, 1, 28]]"
133,2.8785372566273586,0.15157165650838125,846.5230106051704,0.2937532704980198,"[[10, 0, 1, 28]]","[[25, 0, 9, 22]]"
134,2.8428180327816,0.1875313501388311,927.6984128136424,0.28966568240513263,"[[33, 0, 18, 28]]","[[10, 0, 1, 22]]"
135,2.8082930303168614,0.2229087040069512,1008.030679052344,0.2857845537527999,"[[0, 0, 18, 28]]","[[31, 0, 1, 28]]"
136,2.768441201845807,0.25869058313223975,1087.4290328893517,0.2814378969480753,"[[0, 0, 18, 29]]","[[6, 0, 1, 22]]"
137,2.7373908326088956,0.30021222948233184,1165.6876804090114,0.27802472035465503,"[[33, 0, 18, 28]]","[[6, 0, 1, 22]]"
138,2.7059215119621203,0.33232947116106915,1242.902919795498,0.2746117574857624,"[[10, 0, 1, 29]]","[[28, 0, 1, 22]]"
139,2.6680165293366778,0.36554503527581494,1318.9670648636222,0.2705896262347415,"[[8, 0, 18, 28]]","[[6, 0, 1, 22]]"
140,2.638735989697658,0.39844761009792723,1393.714312937653,0.26745856253801703,"[[33, 0, 18, 28]]","[[31, 0, 2, 28]]"
141,2.6080216057411,0.43142979025064476,1467.436330763111,0.26420714306824483,"[[10, 0, 1, 29]]","[[6, 0, 2, 22]]"
142,2.5776943338645726,0.4706343137528572,1539.7420927899504,0.26101462284639215,"[[33, 0, 18, 28]]","[[6, 0, 2, 22]]"
143,2.5474428795773436,0.5013237138839385,1610.745735141043,0.2578465142524808,"[[10, 0, 1, 29]]","[[28, 0, 2, 29]]"
144,2.5110161249678926,0.5327791825396178,1680.372995297007,0.2540753726404252,"[[0, 0, 1, 29]]","[[6, 0, 2, 22]]"
145,2.4828664237297655,0.5713006822969967,1748.3620104900367,0.2511448272255214,"[[33, 0, 18, 28]]","[[6, 0, 2, 29]]"
146,2.453796790450586,0.601123426198049,1814.8960170963442,0.24813314067112413,"[[10, 0, 1, 29]]","[[28, 0, 5, 29]]"
147,2.4178873322627057,0.6325316426916558,1879.8684979576346,0.24444707962604778,"[[0, 0, 18, 29]]","[[6, 0, 2, 29]]"
148,2.390367788235533,0.6638199259337088,1943.0673842071492,0.2416087061346219,"[[33, 0, 18, 28]]","[[29, 0, 2, 29]]"
149,2.3612878021945356,0.6949863182689965,2004.884763169217,0.23862144584601738,"[[10, 0, 1, 29]]","[[6, 0, 2, 29]]"
150,2.332351815180007,0.7324044508685389,2064.865100768754,0.23565547507837858,"[[33, 0, 18, 29]]","[[4, 0, 2, 29]]"
151,2.3034285842966242,0.7615939597051771,2123.1588881351086,0.2326967313098544,"[[10, 0, 1, 29]]","[[29, 0, 2, 29]]"
152,2.268154195132658,0.7913949192483004,2179.6879981006596,0.2291082738804907,"[[0, 0, 1, 29]]","[[4, 0, 1, 22]]"
153,2.240969509449868,0.8283986259662885,2234.158091290113,0.22633392917909195,"[[33, 0, 2, 29]]","[[6, 0, 2, 29]]"
154,2.2128418523505506,0.8571241925595671,2286.8089175500063,0.2234696824422932,"[[10, 0, 1, 29]]","[[29, 0, 9, 29]]"
155,2.1777243301311895,0.8870531167453738,2337.530878471123,0.21991052750912532,"[[4, 0, 1, 29]]","[[6, 0, 1, 22]]"
156,2.1509027865917605,0.9169678388309899,2386.0949633039836,0.21718487484276464,"[[33, 0, 1, 29]]","[[29, 0, 2, 29]]"
157,2.1225446414501343,0.9461949208433988,2432.9853175694448,0.21430870825400952,"[[10, 0, 1, 29]]","[[6, 0, 2, 29]]"
158,2.094245876990671,0.9815663868025237,2477.687695835003,0.21144178414071713,"[[33, 0, 1, 29]]","[[4, 0, 14, 29]]"
159,2.0661037091343344,1.009249309497767,2520.3935324740696,0.2085934013034154,"[[0, 0, 1, 29]]","[[29, 0, 9, 29]]"
160,2.0316214828161177,1.0375031259512872,2561.0595038921983,0.2051137032679047,"[[0, 0, 1, 29]]","[[4, 0, 14, 29]]"
161,2.005064759561982,1.0728789540839174,2599.3722964276703,0.20242927755151935,"[[33, 0, 2, 29]]","[[4, 0, 2, 29]]"
162,1.97766672990736,1.100393832756733,2635.6005944118942,0.19966305426691308,"[[0, 0, 1, 29]]","[[29, 0, 9, 29]]"
163,1.9432276072154218,1.1291304883705997,2669.6663890224686,0.1961949526286078,"[[4, 0, 1, 29]]","[[4, 0, 14, 29]]"
164,1.9168935413645753,1.1651105529933177,2701.2293990172648,0.19353967816957568,"[[33, 0, 2, 29]]","[[6, 0, 2, 29]]"
165,1.889183386518141,1.192881231058084,2730.5825804143683,0.1907487793772201,"[[10, 0, 1, 29]]","[[29, 0, 9, 29]]"
166,1.8543464145434938,1.2220959715541109,2757.6480781152763,0.18724712345945388,"[[4, 0, 1, 29]]","[[6, 0, 2, 29]]"
167,1.8278627556199467,1.251187214658391,2782.1909608773444,0.18458277464175019,"[[33, 0, 2, 29]]","[[29, 0, 2, 29]]"
168,1.7998496527632848,1.2796072112326706,2804.743034316021,0.18176702440963002,"[[10, 0, 1, 29]]","[[5, 0, 2, 29]]"
169,1.764733217508962,1.3143177093891898,2824.6476983361986,0.1782428275540946,"[[4, 0, 1, 29]]","[[5, 0, 14, 29]]"
170,1.7381266511261995,1.3414412223145356,2841.9571222224226,0.175571397230286,"[[33, 0, 2, 29]]","[[29, 0, 2, 29]]"
171,1.7099244913921887,1.3692506234462527,2857.2678803350054,0.17274176033373645,"[[4, 0, 1, 29]]","[[5, 0, 2, 29]]"
