Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Altitude_m,Status
3.2,B0200,43398.43722629826,544.94321410872,5977.875605549183,349.8955915057125,180.01426503668773,6125.271177032841,ALIVE
3.4000000000000004,A0100,-43300.2628198054,-2.5550860322473454,5901.064110690182,364.5384287181367,359.6964608063689,6047.777995515705,ALIVE
3.4000000000000004,A0200,-43305.41797325199,558.127686539563,5903.010914042037,361.51255072681545,359.82359717214825,6049.7840254318,ALIVE
3.4000000000000004,B0100,43333.924186426884,-0.22071773789502913,5861.993223162917,349.0062376652233,180.00678287605862,6008.930449467436,ALIVE
3.4000000000000004,B0200,43328.61968603517,544.9248008611958,5982.032030925224,349.5127432625285,180.0157062170737,6128.953724077052,ALIVE
3.6,A0100,-43227.43551258401,-2.4913993492300506,5896.366277943429,365.08659997660976,0.1433330611622196,6042.587165891934,ALIVE
3.6,A0200,-43233.23427539878,558.1230848686355,5898.225003744645,361.87103579948894,359.7950647356441,6044.509416019964,ALIVE
3.6,B0100,43264.834849168605,-0.24210365787621413,5851.882092243712,349.04369199337356,180.00848009256524,5998.3513957109035,ALIVE
3.6,B0200,43258.88989926463,544.9043867931632,5986.393662645762,349.13731753010677,180.01720431398041,6132.842830020225,ALIVE
3.8000000000000003,A0100,-43154.52238315095,-2.3978011196413718,5891.328634025138,365.6182271380567,0.5736033302709389,6037.056782532388,ALIVE
3.8000000000000003,A0200,-43160.99135840088,558.0650913686659,5893.227810643581,362.24048697870563,359.78998948739587,6039.023938664183,ALIVE
3.8000000000000003,B0100,43195.80885294222,-0.2646180084666412,5841.456275526667,348.85893875615795,180.00789061574065,5987.458836988574,ALIVE
3.8000000000000003,B0200,43189.24867347465,544.8819099571301,5990.958626103147,348.75890798075295,180.01876009656624,6136.9366229188,ALIVE
4.0,A0100,-43081.530101144584,-2.2842541945938137,5885.980663596065,366.1482454493228,0.6984575608884069,6031.216377258888,ALIVE
4.0,A0200,-43088.68485140152,558.0214798807101,5888.044532443024,362.631289479986,359.77596079082645,6033.352768889908,ALIVE
4.0,B0100,43126.87412075781,-0.28798519506199227,5830.573143578487,348.8025410645035,180.00886884339434,5976.110333452848,ALIVE
4.0,B0200,43119.697122155965,544.8573061514526,5995.725319995148,348.3774864480766,180.02037396623834,6141.233506162155,ALIVE
4.2,A0100,-43008.462395383256,-2.141744803808251,5880.301668752583,366.687209287413,0.4864047333821334,6025.045280380145,ALIVE
4.2,A0200,-43016.31170510955,558.0523250506485,5882.638141268657,363.04974063306594,359.80095101564683,6027.458866491187,ALIVE
4.2,B0100,43058.00505248013,-0.31240223183704074,5819.347603091945,348.86278016116347,180.01047067526798,5964.420613639749,ALIVE
4.2,B0200,43050.23635806455,544.8305091538696,6000.692259052321,347.9930739583516,180.02204672471828,6145.731999119827,ALIVE
4.4,A0100,-42935.316877718804,-2.02378246763692,5874.25679702778,367.256005279467,0.15778417182154075,6018.508626694849,ALIVE
4.4,A0200,-42943.86978440148,558.1643141987224,5876.941886192415,363.50306757983464,359.94008697662014,6021.275470493755,ALIVE
4.4,B0100,42989.15894357182,-0.33818670865366585,5807.936613444384,348.9386620562995,180.01175156045403,5952.546343887019,ALIVE
4.4,B0200,42980.867480938316,544.8014508540818,6005.857997132058,347.605711717839,180.0237794073533,6150.430660155613,ALIVE
4.6000000000000005,A0100,-42862.08081175608,-2.019487309604301,5867.893272507175,367.85172838239595,359.90187122629385,6011.653556404513,ALIVE
4.6000000000000005,A0200,-42871.357735737925,558.3120621102571,5870.914677438983,363.9636044313283,0.21165135563014167,6014.761481286237,ALIVE
4.6000000000000005,B0100,42920.338987809824,-0.36535106480187096,5796.348261271916,348.8182709649422,180.01046020626498,5940.495631320406,ALIVE
4.6000000000000005,B0200,42911.59156472987,544.7700613091456,6011.221096162168,347.21570762467917,180.02557318132807,6155.328055481664,ALIVE
4.800000000000001,A0100,-42788.74304538198,-2.1370440768514527,5861.335358311599,368.43782021756505,359.72051130150527,6004.604258208776,ALIVE
4.800000000000001,A0200,-42798.78013333033,558.4422623979335,5864.572560981671,364.40419181655307,0.5364136303105778,6007.9329727853,ALIVE
4.800000000000001,B0100,42851.61065131739,-0.3932139632579492,5784.296635786955,348.57104415314467,180.00865508849972,5927.983009726408,ALIVE
4.800000000000001,B0200,42842.409440004434,544.7362686914948,6016.7801250266675,346.8249485119752,180.02742897642193,6160.422756593469,ALIVE
5.0,A0100,-42715.29595374823,-2.2622910131976823,5854.661519059475,369.0358355313154,359.59092775511783,5997.439147422543,ALIVE
5.0,A0200,-42726.14049072741,558.5406789774715,5857.966440061195,364.8338626073157,0.766992787256315,6000.840871505222,ALIVE
5.0,B0100,42783.03731755277,-0.4211433041837154,5771.548932822083,348.3339077920701,180.0074260333292,5914.776101482004,ALIVE
5.0,B0200,42773.32167276194,544.6999993118334,6022.533636720178,346.43381319863096,180.02934812356,6165.713317295918,ALIVE
5.2,A0100,-42641.737899688145,-2.2681241423379106,5847.8170644800975,369.6616967935678,359.6162768774865,5990.103527763686,ALIVE
5.2,A0200,-42653.44119375679,558.6431393216044,5851.133042983945,365.257848985511,0.7898023564489624,5993.521926046613,ALIVE
5.2,B0100,42714.650974604636,-0.4488050263735204,5758.010559308048,348.12809217254875,180.00637153248294,5900.780524330375,ALIVE
5.2,B0200,42704.32879699733,544.6611777199159,6028.480153974611,346.0423334172717,180.03133213085053,6171.198260891811,ALIVE
5.4,A0100,-42568.076038143714,-2.136621626705164,5840.682184004028,370.27072193485964,359.9184180197875,5982.477642774743,ALIVE
5.4,A0200,-42580.68572812388,558.8009155688014,5844.059791993064,365.6807012453984,0.6028638365835394,5985.963588620916,ALIVE
5.4,B0100,42646.46838406438,-0.47599823977179767,5743.644672390026,347.9524453912876,180.00532508313552,5885.9595419475945,ALIVE
5.4,B0200,42635.431328762366,544.6197266552972,6034.618183282262,345.6505360707806,180.03338253103524,6176.87609431049,ALIVE
5.6000000000000005,A0100,-42494.32532310062,-1.9422638541036576,5833.2041721932965,370.84677749945683,0.4029088614670947,5974.5088911912835,ALIVE
5.6000000000000005,A0200,-42507.87770791821,559.0315695410463,5836.693430878719,366.11208988554085,0.31738577865376916,5978.112631641555,ALIVE
5.6000000000000005,B0100,42578.47863635332,-0.5027629879186861,5728.4945968502725,348.0985312118139,180.00744311987768,5870.356398775739,ALIVE
5.6000000000000005,B0200,42566.62976746708,544.575567017504,6040.946221837345,345.25844582390215,180.03550090270414,6182.745315050099,ALIVE
5.800000000000001,A0100,-42420.494271343974,-1.733459773055074,5825.411993008935,371.4119978723959,0.7591684650573638,5966.2262958954425,ALIVE
5.800000000000001,A0200,-42435.01704911802,559.2978653705468,5828.986323125686,366.5602132882639,0.07730503088996693,5969.921417575229,ALIVE
5.800000000000001,B0100,42510.59827666493,-0.529960992767883,5712.853924077641,348.2874188050324,180.0101348604657,5854.264118187619,ALIVE
5.800000000000001,B0200,42497.92459647886,544.5286178257847,6047.462760525763,344.86608616693536,180.03768887872798,6188.804414177486,ALIVE
6.0,A0100,-42346.58788313292,-1.493858618014201,5817.321964010202,371.979276830629,0.7613643191809123,5957.646209937242,ALIVE
6.0,A0200,-42362.10292425051,559.5336590120605,5820.93978040854,366.98948822790516,359.95237906962234,5961.391248524961,ALIVE
6.0,B0100,42442.77602269739,-0.5581521693311515,5696.903171701444,348.2510672981574,180.0082354078493,5837.862869625119,ALIVE
6.0,B0200,42429.31628345098,544.4787961854963,6054.16628529907,344.473479861615,180.03994814947606,6195.051877703262,ALIVE
6.2,A0100,-42272.61017459882,-1.2244100235366204,5808.8915238111185,372.56241047179094,0.48332338668393343,5948.726101982877,ALIVE
6.2,A0200,-42289.13362731271,559.698960714144,5812.608684037887,367.41070462465234,359.9180554856797,5952.576991566646,ALIVE
6.2,B0100,42375.070682346115,-0.5865785188088921,5680.435410509206,348.11796934734343,180.00539380633802,5820.946116510317,ALIVE
6.2,B0200,42360.80528048883,544.4260172408558,6061.055277822332,344.0806492026943,180.04228046412064,6201.4861872324145,ALIVE
6.4,A0100,-42198.55592854238,-1.0017425191508664,5800.097927289547,373.1852839134037,0.16857968167772883,5939.443195368013,ALIVE
6.4,A0200,-42216.10301318595,559.8142403488164,5804.059363030125,367.84168094886945,359.9052097378942,5943.54493727721,ALIVE
6.4,B0100,42307.550005022786,-0.6144499937690853,5663.255919682666,348.00263563829355,180.00329733067113,5803.319587051955,ALIVE
6.4,B0200,42292.39202419863,544.3701941457985,6068.128215325407,343.6876163738092,180.04468763197505,6208.105819814435,ALIVE
6.6000000000000005,A0100,-42124.40833175226,-0.9035368555560126,5791.019461614867,373.81557041418097,359.93760983744346,5929.875667300952,ALIVE
6.6000000000000005,A0200,-42143.00601713211,559.9443887658526,5795.31457306268,368.29302093141746,359.8868441197098,5934.317815164981,ALIVE
