Time_s,Agent_ID,X_m,Y_m,Z_m,Altitude_m,Status
26.400000000000002,A0200,-34914.25593919953,378.3606202759147,3591.3862066415786,3686.8203446091593,ALIVE
26.400000000000002,B0100,35928.19278917057,0.03643077082961099,2680.5991895974657,2781.6560562849822,ALIVE
26.400000000000002,B0200,36143.90049162905,485.7257059429121,7768.439300487542,7870.650269323084,ALIVE
26.6,A0100,-34311.14813953266,83.98998917926292,3531.5718822578565,3623.7280520886275,ALIVE
26.6,A0200,-34844.503844161576,377.0806071154693,3556.5655351361966,3651.6192223081202,ALIVE
26.6,B0100,35871.79774958156,0.21727870678114414,2632.217228544787,2732.9578626220555,ALIVE
26.6,B0200,36088.50624404945,483.8445288676212,7789.920347424828,7891.817835263631,ALIVE
26.8,A0100,-34230.04613285331,85.51457588062658,3495.7269337060934,3587.448492632264,ALIVE
26.8,A0200,-34774.89089035919,375.6725454055795,3521.4029561613224,3616.0777054489467,ALIVE
26.8,B0100,35815.60173098978,0.40529767958105367,2583.532723534723,2683.958738994527,ALIVE
26.8,B0200,36033.22461820923,481.90735366782064,7811.447757743579,7913.032877215952,ALIVE
27.0,A0100,-34148.94839935556,87.12672887945155,3459.591872381876,3550.87987385982,ALIVE
27.0,A0200,-34705.41045477277,374.12028698331414,3485.910028721055,3580.207311427966,ALIVE
27.0,B0100,35759.606481100665,0.6006318195049971,2534.5476014387477,2634.6606167752416,ALIVE
27.0,B0200,35978.05535760716,479.91248321571766,7833.020398841341,7934.294258145753,ALIVE
27.200000000000003,A0100,-34067.86219080285,88.73250974565963,3423.12289908596,3513.978434432173,ALIVE
27.200000000000003,A0200,-34636.055156275455,372.4088806161908,3450.0998522538375,3544.0210943470806,ALIVE
27.200000000000003,B0100,35703.81374563408,0.8034262822056917,2485.2638166023225,2585.0654547495246,ALIVE
27.200000000000003,B0200,35922.99820888303,477.8581661584358,7854.637134023074,7955.600836960575,ALIVE
27.400000000000002,A0100,-33986.75045808413,90.25869829684416,3386.3862697872682,3476.810230713165,ALIVE
27.400000000000002,A0200,-34566.81691686397,370.52477147669924,3413.9869469702444,3507.5335257203133,ALIVE
27.400000000000002,B0100,35648.225267776135,1.01382722474591,2435.683350836047,2535.1752391129107,ALIVE
27.400000000000002,B0200,35868.052921908056,475.74259514207006,7876.296821412958,7976.951467423153,ALIVE
27.6,A0100,-33905.57877644014,91.75127841112771,3349.4615232711894,3439.4546191632453,ALIVE
27.6,A0200,-34497.68703261238,368.4559783592722,3377.5871131698896,3470.7603542286874,ALIVE
27.6,B0100,35592.84278759218,1.2319817580264498,2385.808213395667,2484.9919834518405,ALIVE
27.6,B0200,35813.21924983132,473.563904995719,7897.9983128354925,7998.344997023893,ALIVE
27.8,A0100,-33824.35171949188,93.29738504665147,3312.3291752681707,3401.89214351179,ALIVE
27.8,A0200,-34428.65625261214,366.1922469698493,3340.9172742343635,3433.7184491924913,ALIVE
27.8,B0100,35537.66804143798,1.4580379178441945,2335.640440950254,2434.517728703919,ALIVE
27.8,B0200,35758.49694911837,471.32017085881125,7919.740452541451,8019.78026571596,ALIVE
28.0,A0100,-33743.1010421269,94.89291620769109,3274.9193898836656,3364.0531386637867,ALIVE
28.0,A0200,-34359.71486412981,363.72517883760884,3303.9953076908023,3396.425632117716,ALIVE
28.0,B0100,35482.70276139237,1.6921446303367702,2285.1820975446117,2383.7545431170406,ALIVE
28.0,B0200,35703.88577958677,469.0094062645985,7941.52207590125,8041.256104604951,ALIVE
28.200000000000003,A0100,-33661.83757835927,96.46468301284767,3237.2381513913715,3325.94364570103,ALIVE
28.200000000000003,A0200,-34290.85278254211,361.04833612177026,3266.8398680480204,3358.9005000591696,ALIVE
28.200000000000003,B0100,35427.94867466153,1.9344516675882915,2234.4352745274537,2332.7045221812577,ALIVE
28.200000000000003,B0200,35649.38550440702,466.62956116656096,7963.342007949897,8062.771334489814,ALIVE
28.400000000000002,A0100,-33580.54159368749,98.00808898800642,3199.360833139963,3287.6389335393637,ALIVE
28.400000000000002,A0200,-34222.05964479085,358.15732329363163,3229.4702044772257,3321.162243814945,ALIVE
28.400000000000002,B0100,35373.40750299512,2.1851096184946073,2183.402090492127,2281.36978855952,ALIVE
28.400000000000002,B0200,35594.99589009677,464.1785199225051,7985.1990618553755,8084.324764341322,ALIVE
28.6,A0100,-33499.21367775187,99.60900864984433,3161.3086550392727,3249.160227423012,ALIVE
28.6,A0200,-34153.32490542615,355.0498468268488,3191.9059757364903,3283.230463393486,ALIVE
28.6,B0100,35319.08096207716,2.4442698381517403,2132.084691172802,2229.752491990024,ALIVE
28.6,B0200,35540.716706492305,461.65409923088737,8007.092037248898,8105.915189622716,ALIVE
28.8,A0100,-33417.89134454265,101.31308304609774,3123.0019326517267,3210.4280422508955,ALIVE
28.8,A0200,-34084.637934484264,351.72575422997943,3154.1670641997644,3245.124982558653,ALIVE
28.8,B0100,35264.97076095342,2.7120844216187834,2080.4852493562703,2177.8548091851535,ALIVE
28.8,B0200,35486.54772668247,459.0540460193588,8029.019718439453,8127.541390507016,ALIVE
29.0,A0100,-33336.59753335885,103.04584996171252,3084.3692897650253,3171.37112115334,ALIVE
29.0,A0200,-34015.98826108969,348.1870575162757,3116.2734696279513,3206.8657439169824,ALIVE
29.0,B0100,35211.078601410205,2.988706144364187,2028.605964756107,2125.678943711123,ALIVE
29.0,B0200,35432.48872694862,456.37603528455475,8050.980872496317,8149.202129963762,ALIVE
29.200000000000003,A0100,-33255.303266173,104.71223086580176,3045.4489285609834,3132.027512248519,ALIVE
29.200000000000003,A0200,-33947.36595407383,344.4379281255551,3078.245279755478,3168.472781501797,ALIVE
29.200000000000003,B0100,35157.406177386736,3.274288438620715,1976.4490638880034,2073.22712586194,ALIVE
29.200000000000003,B0200,35378.53948662491,453.6176678998745,8072.974247187323,8170.89615168905,ALIVE
29.400000000000002,A0100,-33173.9679958196,106.32543253679796,3006.328124601436,3092.4842794558886,ALIVE
29.400000000000002,A0200,-33878.7613385459,340.48466012504105,3040.1022807014924,3129.965829649732,ALIVE
29.400000000000002,B0100,35103.95517438069,3.5689853382718866,1924.0167999255063,2020.5016125015736,ALIVE
29.400000000000002,B0200,35324.69978798984,450.7764683754576,8094.998568776116,8192.622177904997,ALIVE
29.6,A0100,-33092.585339608406,107.97198371269587,2967.0144700764195,3052.7489847514184,ALIVE
29.6,A0200,-33810.16501309655,336.3356470555791,3001.863732976908,3091.3640990749955,ALIVE
29.6,B0100,35050.72726882396,3.8729514406459202,1871.3114525308374,1967.5046869061262,ALIVE
29.6,B0200,35270.969416072556,447.84988259142665,8117.052539614026,8214.378906958224,ALIVE
29.8,A0100,-33011.18453277736,109.67145161323606,2927.441344568435,3012.755161870551,ALIVE
29.8,A0200,-33741.56794875199,332.0013376949628,2963.5481927153523,3052.6860986076326,ALIVE
29.8,B0100,34997.72412749336,4.186341857252046,1818.3353276841171,1914.2386585832924,ALIVE
29.8,B0200,35217.348158453155,444.8352754903808,8139.13483563893,8236.165010803656,ALIVE
30.0,A0100,-32929.78343817696,111.3540458471416,2887.596482957111,2972.4906374397847,ALIVE
30.0,A0200,-33672.961574930094,327.4941693170931,2925.173328798932,3013.949452731684,ALIVE
30.0,B0100,34944.94740690002,4.509312172705904,1765.0907575011006,1860.7058630861432,ALIVE
30.0,B0200,35163.83580500934,441.7299287524347,8161.244103609006,8257.97913224988,ALIVE
30.200000000000003,A0100,-32848.36214310146,112.9937237830618,2847.5527229052514,2932.028145248544,ALIVE
30.200000000000003,A0200,-33604.33781169607,322.8284794832434,2886.755715430003,2975.1706942986043,ALIVE
30.200000000000003,B0100,34892.398752687935,4.8420184010210505,1711.5801000018,1806.9086617894382,ALIVE
30.200000000000003,B0200,35110.43214762287,438.5310384377826,8183.3789581996425,8279.819882044396,ALIVE
30.400000000000002,A0100,-32766.91110213573,114.66992443094387,2807.3549227918193,2891.412496252799,ALIVE
30.400000000000002,A0200,-33535.689221050416,318.0204029999277,2848.3106938715555,2936.3651270174864,ALIVE
30.400000000000002,B0100,34840.07979902778,5.18461692834353,1657.8057389257265,1752.8494416897834,ALIVE
30.400000000000002,B0200,35057.1369798294,435.23571264027487,8205.5379788402,8301.685835723823,ALIVE
30.6,A0100,-32685.464977184198,116.45537915616114,2766.939048210259,2850.579836754495,ALIVE
30.6,A0200,-33467.00913259932,313.0877467841419,2809.852229029424,2897.5466826471898,ALIVE
30.6,B0100,34787.99216800348,5.537264476899509,1603.7700834676962,1698.5306151444734,ALIVE
30.6,B0200,35003.950096448854,431.84096910356857,8227.719706400027,8323.575530279035,ALIVE
30.8,A0100,-32604.059817534253,118.30139270617838,2726.2147901827593,2809.4400419688195,ALIVE
30.8,A0200,-33398.29173834249,308.0498438868326,2771.392759281174,2858.7277712677896,ALIVE
30.8,B0100,34736.13746902136,5.900118051364188,1549.4755680329345,1643.954619628501,ALIVE
30.8,B0200,34950.87129311083,428.34373287463677,8249.922639562432,8345.487460540957,ALIVE
31.0,A0100,-32522.67839651032,120.10144050964482,2685.1901466942454,2768.0010185034603,ALIVE
31.0,A0200,-33329.5321838935,302.9273874043247,2732.9430565103703,2819.9191417235525,ALIVE
31.0,B0100,34684.51729820136,6.273334895411608,1494.9246519766766,1589.1239174665868,ALIVE
31.0,B0200,34897.90036575302,424.74083394234003,8272.145231007315,8367.42007535745,ALIVE
31.200000000000003,A0100,-32441.27688277926,121.83661994743306,2643.9505034990652,2726.3479270158205,ALIVE
31.200000000000003,A0200,-33260.7266546887,297.7422439177517,2694.5120986739657,2781.1297545742304,ALIVE
31.200000000000003,B0100,34633.133237770104,6.657072432590212,1440.119819312682,1534.040995541364,ALIVE
31.200000000000003,B0200,34845.037110050194,421.02900492086883,8294.385883309686,8389.371773486317,ALIVE
31.400000000000002,A0100,-32359.838219234887,123.58442485412161,2602.527024103825,2684.51184637287,ALIVE
31.400000000000002,A0200,-33191.872455530225,292.51724664851827,2656.1069574730627,2742.366670115161,ALIVE
31.400000000000002,B0100,34581.98685547427,7.051488227565642,1385.0635784177903,1478.708364998156,ALIVE
31.400000000000002,B0200,34792.281320763315,417.20487877774576,8316.642944559107,8411.340899215804,ALIVE
31.6,A0100,-32278.38677645554,125.38372478889869,2560.8624412235185,2642.435635371083,ALIVE
31.6,A0200,-33122.96808163312,287.27596911691217,2617.7327038940257,2703.6349542037815,ALIVE
31.6,B0100,34531.07970397195,7.456739930754338,1329.758461723217,1423.1285609281808,ALIVE
31.6,B0200,34739.63279101433,413.264986598886,8338.914703696739,8433.325737696683,ALIVE
31.8,A0100,-32196.946057289104,127.17377585743816,2518.929749742876,2600.092407024023,ALIVE
31.8,A0200,-33054.01327919254,282.0424806613046,2579.392334459313,2664.9376047471287,ALIVE
31.8,B0100,34480.413320247055,7.872985232168503,1274.2070253820257,1367.3041420415373,ALIVE
31.8,B0200,34687.091311477496,409.20575544572966,8361.199385540987,8455.324509963235,ALIVE
32.0,A0100,-32115.498397034746,128.91081563989974,2476.794515456135,2557.547636139232,ALIVE
32.0,A0200,-32985.009093416054,276.84108595950966,2541.0867210457345,2626.2755016889932,ALIVE
32.0,B0100,34429.98922501252,8.300381801738695,1218.4118489227003,1311.2376903118015,ALIVE
32.0,B0200,34634.65666948907,405.02350630293586,8383.495145485742,8477.335367631735,ALIVE
32.2,A0100,-32034.02515785795,130.66237750001346,2434.5204068747134,2514.86489851453,ALIVE
32.2,A0200,-32915.95790189746,271.69605140618114,2502.8145870248773,2587.647383241159,ALIVE
32.2,B0100,34379.80892212629,8.73908724874127,1162.3755348857176,1254.9318106172204,ALIVE
32.2,B0200,34582.328648049785,400.7144521316459,8405.800063862127,8499.356387253767,ALIVE
32.4,A0100,-31952.555149899228,132.5214370521917,2392.063179762854,2472.000097527391,ALIVE
32.4,A0200,-32846.86343134078,266.63132205357215,2464.5725121899595,2549.049850812471,ALIVE
