Time_s,Agent_ID,X_m,Y_m,Z_m,Altitude_m,Velocity_m_s,Heading_deg,Status
8.6,B0200,42008.335797065905,542.5142146790549,7058.745245393535,7196.827634243301,297.9196120064895,180.2977003385601,ALIVE
8.8,A0100,-41302.61201854801,0.5802572655447875,5676.298242038398,5809.791864865628,380.7533800439131,359.8292853914942,ALIVE
8.8,A0200,-41308.89427995585,470.0652983507389,5597.813617953047,5731.366756462508,383.20594446887264,2.4537722782425084,ALIVE
8.8,B0100,41839.80042536609,0.3152815441844723,4680.712303982818,4817.717150325912,351.83303560451753,179.86320615570182,ALIVE
8.8,B0200,41967.9556038972,542.3289774488221,7102.595607122088,7240.411750555024,296.35319221409117,180.32263223460467,ALIVE
9.0,A0100,-41227.34153448439,0.77911787254925,5664.283403812844,5797.291159190146,381.43606263707517,359.8316715137252,ALIVE
9.0,A0200,-41233.629979529476,469.4269197065332,5582.014370017083,5715.081633057725,384.1920723421822,359.508875789255,ALIVE
9.0,B0100,41795.89488473996,0.3848143770937895,4625.426287544102,4762.144935357115,352.31723401303583,179.85096701207223,ALIVE
9.0,B0200,41928.56159916786,542.1342165177994,7146.922331212629,7284.47894649961,294.77849704004035,180.34980646653426,ALIVE
9.200000000000001,A0100,-41151.97090892096,1.1179802683000162,5651.992379663352,5784.514513253823,382.1200319657686,0.08007631261424909,ALIVE
9.200000000000001,A0200,-41158.387620857495,468.1577978750138,5565.351803563912,5697.934188456533,385.02452113124536,356.34614805790824,ALIVE
9.200000000000001,B0100,41753.07876308898,0.45963494673014793,4569.169522462071,4705.609408963842,352.809238789766,179.8376836921169,ALIVE
9.200000000000001,B0200,41890.16373847937,541.9296064863938,7191.707508869269,7329.011360570786,293.19549458027177,180.37948253636566,ALIVE
9.4,A0100,-41076.518267291554,1.5263848342437996,5639.361758012659,5771.398636803049,382.7637973280166,0.5187841557138212,ALIVE
9.4,A0200,-41083.08214378258,466.01052848100517,5548.341837358803,5680.439765216213,385.70788369657714,354.25489172553523,ALIVE
9.4,B0100,41711.373639383346,0.5399006023744732,4511.961530039051,4648.130211085555,353.30803509240394,179.8232397642889,ALIVE
9.4,B0200,41852.77193987224,541.7148155600353,7236.933133919649,7373.991033861789,291.60414725087287,180.41196081220653,ALIVE
9.600000000000001,A0100,-41000.991172425565,1.9491771223365504,5626.418309435907,5757.970351219163,383.39037212923125,0.8610746837127738,ALIVE
9.600000000000001,A0200,-41007.59910404718,463.14061099717946,5531.553624618888,5663.166784602544,386.3025458782996,353.92713275111964,ALIVE
9.600000000000001,B0100,41670.80088107512,0.6257662378429814,4453.82236300096,4589.727511726794,353.81402335600524,179.80750542632885,ALIVE
9.600000000000001,B0200,41816.39610118171,541.489505334037,7282.581096805099,7419.399904180241,290.0044113741828,180.44759091608216,ALIVE
9.8,A0100,-40925.39339452384,2.40215470232215,5613.18367453572,5744.251323390261,384.01611813612794,0.8734672162881525,ALIVE
9.8,A0200,-40931.85563252295,460.0422713035259,5515.3130978045865,5646.440684320664,386.8948792944128,355.39513332928084,ALIVE
9.8,B0100,41631.38149526509,0.7173838187027286,4394.772565253748,4530.421969766915,354.32666197462146,179.79032526110188,ALIVE
9.8,B0200,41781.0461181812,541.2533305963861,7328.633177304981,7465.219798915127,288.39620766269854,180.48678227207495,ALIVE
10.0,A0100,-40849.732137317005,2.890959836109687,5599.6151947117505,5730.198944098484,384.65747377108914,0.6124056095352445,ALIVE
10.0,A0200,-40855.84072175062,457.28301306350477,5499.559478117575,5630.200666665584,387.57380204010695,358.15666896072287,ALIVE
10.0,B0100,41593.136218529384,0.8149018529638852,4334.833336221265,4470.2348979482085,354.8448489309681,179.77151389498204,ALIVE
10.0,B0200,41746.73395380163,541.00592601688,7375.07160096452,7511.43300496477,286.7721688614508,180.52999974567615,ALIVE
10.200000000000001,A0100,-40774.004919554296,3.3403889610635815,5585.681387198772,5715.781717535108,385.3393032808825,0.31804984501895067,ALIVE
10.200000000000001,A0200,-40779.60991274711,455.2467290448658,5483.931336843925,5614.085701428089,388.404348382351,1.2544844652945213,ALIVE
10.200000000000001,B0100,41556.08555525901,0.9184653496558894,4274.026525909627,4409.188258228424,355.3675061597716,179.75085334941818,ALIVE
10.200000000000001,B0200,41713.47282749044,540.7469221168631,7421.877435017528,7558.020659395329,285.12899812759446,180.57785362050998,ALIVE
10.4,A0100,-40698.191082984675,3.664244319748832,5571.454309281786,5701.071570146486,386.0239431431544,0.1167596235533807,ALIVE
10.4,A0200,-40703.25356705753,454.033954280756,5467.955858824427,5597.62357289477,389.39564264528644,3.4897519241611157,ALIVE
10.4,B0100,41520.24977541044,1.0282156353478058,4212.374629796959,4347.30465669955,355.89356430250893,179.72808455834448,ALIVE
10.4,B0200,41681.27292114112,540.4759709880145,7469.029655369395,7604.961788400722,283.46654109045545,180.63105005813398,ALIVE
