time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
37.600,3380.868,8071.161,-13.453,74.268,276.601
37.800,3433.938,8087.159,-11.481,73.985,275.960
38.000,3486.977,8103.140,-10.408,73.941,275.939
38.200,3540.061,8119.104,-10.199,73.878,277.228
38.400,3593.196,8135.060,-10.392,73.699,277.203
38.600,3646.297,8150.992,-10.393,73.832,276.370
38.800,3699.370,8166.891,-10.114,73.893,276.400
39.000,3752.414,8182.753,-9.750,73.787,276.788
39.200,3805.459,8198.601,-9.770,73.665,276.441
39.400,3858.489,8214.445,-10.507,73.275,275.961
39.600,3911.448,8230.280,-11.723,73.410,276.420
39.800,3964.408,8246.093,-13.057,73.448,275.747
40.000,4017.342,8261.886,-13.980,73.636,274.922
40.200,4070.261,8277.653,-14.541,73.814,275.335
40.400,4123.179,8293.366,-14.988,73.324,275.932
40.600,4176.064,8309.054,-15.578,73.089,275.542
40.800,4228.904,8324.723,-16.501,73.186,275.484
41.000,4281.709,8340.354,-17.288,73.299,274.545
41.200,4334.464,8355.981,-17.624,73.484,273.789
41.400,4387.191,8371.605,-17.757,73.645,274.831
41.600,4439.925,8387.215,-18.081,73.407,274.865
41.800,4492.638,8402.823,-18.906,72.856,274.268
42.000,4545.277,8418.426,-20.158,72.718,274.269
42.200,4597.873,8434.030,-21.596,73.000,274.188
42.400,4650.479,8449.627,-22.898,73.031,273.082
42.600,4703.043,8465.217,-23.662,73.122,272.494
42.800,4755.576,8480.797,-24.147,73.119,273.777
43.000,4808.108,8496.357,-24.730,72.622,273.730
43.200,4860.581,8511.913,-25.624,72.249,272.960
43.400,4912.975,8527.484,-26.913,72.480,273.303
43.600,4965.366,8543.065,-28.359,72.562,272.766
43.800,5017.729,8558.656,-29.423,72.757,271.580
44.000,5070.063,8574.232,-29.987,72.949,271.106
44.200,5122.360,8589.744,-30.164,72.493,272.296
44.400,5174.603,8605.210,-30.161,71.946,271.982
44.600,5226.743,8620.695,-30.280,72.312,270.973
44.800,5278.843,8636.179,-31.015,72.802,270.884
45.000,5330.925,8651.656,-32.408,72.740,271.494
45.200,5382.955,8667.139,-33.877,72.635,271.135
45.400,5434.998,8682.679,-35.016,72.612,270.608
45.600,5487.122,8698.304,-35.692,72.650,270.211
45.800,5539.291,8713.959,-35.695,72.580,269.978
46.000,5591.444,8729.617,-34.816,72.693,269.892
46.200,5643.601,8745.265,-33.196,72.919,269.890
46.400,5695.720,8760.818,-30.848,72.905,269.763
46.600,5747.698,8776.245,-27.808,72.431,270.797
46.800,5799.526,8791.669,-24.406,72.843,270.625
47.000,5851.304,8807.101,-21.306,73.584,269.926
47.200,5903.098,8822.503,-18.995,73.742,269.242
47.400,5954.868,8837.895,-17.585,73.372,268.695
47.600,6006.557,8853.283,-16.870,73.138,269.040
47.800,6058.206,8868.674,-16.571,73.088,269.489
48.000,6109.871,8884.079,-16.463,73.079,269.282
48.200,6161.531,8899.490,-16.282,72.996,269.140
48.400,6213.165,8914.884,-15.981,72.841,269.271
48.600,6264.775,8930.267,-15.801,72.484,268.961
48.800,6316.333,8945.662,-15.987,72.555,268.373
49.000,6367.839,8961.054,-16.686,72.629,268.655
49.200,6419.303,8976.445,-17.388,72.618,268.034
49.400,6470.719,8991.867,-17.699,72.634,266.815
49.600,6522.089,9007.324,-17.551,72.675,266.181
49.800,6573.400,9022.771,-17.019,72.569,267.421
50.000,6624.670,9038.192,-16.346,72.175,267.463
50.200,6675.867,9053.617,-15.817,72.222,266.583
50.400,6727.016,9069.050,-15.916,72.420,266.124
50.600,6778.110,9084.486,-16.660,72.588,266.663
50.800,6829.166,9099.894,-17.484,72.820,266.304
51.000,6880.199,9115.282,-17.995,73.152,265.149
51.200,6931.208,9130.640,-18.054,73.262,264.373
51.400,6982.147,9145.941,-17.624,72.879,265.399
51.600,7033.011,9161.240,-16.950,72.952,265.466
51.800,7083.860,9176.543,-16.642,73.228,265.008
52.000,7134.699,9191.834,-17.059,72.998,264.405
52.200,7185.462,9207.120,-18.003,73.048,264.963
52.400,7236.217,9222.399,-19.192,73.012,264.763
52.600,7286.951,9237.679,-20.068,73.084,263.576
52.800,7337.666,9252.945,-20.504,73.191,262.843
53.000,7388.348,9268.158,-20.580,72.761,264.013
53.200,7438.982,9283.334,-20.423,72.233,264.012
53.400,7489.522,9298.540,-20.302,72.744,263.128
53.600,7540.012,9313.725,-20.728,73.425,262.623
