Time_s,Agent_ID,Missile_Type,Remaining_Count,Launched,Side,Data_Type,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km
97.60000000000001,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-3816.445141006657,3958.2770616241887,7088.517796259827,1019.7455864535477,B0100,15.672530564078325
97.80000000000001,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,8155.171219633085,1052.1683470684427,6178.7399931221835,641.7851442551265,B0100,3.60575751689952
97.80000000000001,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-3613.280030658314,3948.5922648815017,7096.736010361142,1015.5253775350567,B0100,15.41167160570795
98.0,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,8277.605613072243,1085.45104369967,6196.2330282073235,638.741408908861,B0100,3.416146461814158
98.0,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-3410.9723671621637,3938.591204836044,7104.923948949637,1011.3300661438349,B0100,15.15176145203894
98.2,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,8399.496139126708,1118.0065465860273,6214.349618487418,635.5160715216509,B0100,3.2274331312725533
98.2,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-3209.519031550899,3928.2684988541087,7113.0850087538465,1007.1503060601199,B0100,14.893128107897164
98.4,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,8520.790973697249,1149.6833702235883,6233.242672268199,631.8991915430354,B0100,3.040015325388229
98.4,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-3008.9191151851296,3917.615502509557,7121.229966293295,1002.9804606982796,B0100,14.636183824468532
98.60000000000001,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,8641.404649356062,1180.3071846525768,6253.127256031959,627.911876577013,B0100,2.8541974737154883
98.60000000000001,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-2809.1723462508894,3906.6235946675474,7129.373371832393,998.8222357202748,B0100,14.381056648864861
98.80000000000001,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,8761.236093480797,1209.7799413017656,6274.219763018338,623.6197566661972,B0100,2.670079889330532
98.80000000000001,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-2610.277740400783,3895.28658430734,7137.530996056483,994.6796078172038,B0100,14.127637081537841
99.0,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,8880.216468555698,1238.0747339499624,6296.616556900057,619.4111718970623,B0100,2.4873111141682176
99.0,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-2412.2335669483814,3883.5994646880426,7145.7142387172225,990.5543853006516,B0100,13.875511580528654
99.2,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,8998.382853138768,1265.2730901617965,6320.15898581769,615.5531142827374,B0100,2.30553052639545
99.2,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-2215.0370996315955,3871.55753194708,7153.92446155139,986.4513289808751,B0100,13.624351669777615
99.4,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,9115.825720900044,1291.5403037858166,6344.579091699615,612.259415068975,B0100,2.1244642660649284
99.4,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-2018.6843930883533,3859.157255956345,7162.156333097526,982.3734402017975,B0100,13.373982966200948
99.60000000000001,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,9232.659465110639,1317.0415723322822,6369.595170631155,609.233233674214,B0100,1.9441639259089365
99.60000000000001,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-1823.1714349113308,3846.39514962877,7170.404156988459,978.3176389068017,B0100,13.124598897081928
99.80000000000001,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,9348.872106516867,1341.8088558108236,6395.235302982259,606.0418095722703,B0100,1.764917087582767
99.80000000000001,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-1628.4957933471755,3833.2664390190016,7178.671679277307,974.2775649826604,B0100,12.876528498117022
100.0,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,9464.420287272833,1365.7904589487034,6421.572419607441,602.9287600007738,B0100,1.5866208611030919
100.0,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-1434.655828141219,3819.7655955719106,7186.964280003328,970.2558001180496,B0100,12.62961161470448
100.2,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,9579.397018226315,1389.1272353349666,6448.366486799964,600.335911107852,B0100,1.4089324728564043
100.2,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-1241.6482671862664,3805.88895588433,7195.2786840154085,966.2583682989208,B0100,12.383561778578912
100.4,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,9693.868236001746,1411.9483681969261,6475.48556395492,597.681745138084,B0100,1.232070402438735
100.4,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-1049.4696598085711,3791.633183400792,7203.612471012716,962.2808842750783,B0100,12.138677942623298
100.60000000000001,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,9807.691060789963,1434.1450022064587,6503.253689420278,594.3996575308493,B0100,1.056482561272633
100.60000000000001,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-858.2102150502564,3776.7112919119327,7211.953002455836,955.5451284473367,B0100,11.895348844682163
100.80000000000001,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,9920.668508469138,1455.432198467734,6532.070745908398,590.3524268479775,B0100,0.8826675696325318
100.80000000000001,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-669.2764131664558,3758.253349996881,7220.094311815894,943.7317240460286,B0100,11.65475991489248
101.0,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,10032.530881764837,1475.5121167100679,6562.431186090292,585.5384897010247,B0100,0.7110597347348131
101.0,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-483.07787719827246,3735.8028348411226,7228.1394822685215,932.6982509473072,B0100,11.417259592186568
101.2,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,10143.097162614122,1494.3705449329855,6594.557224455193,581.0080276213863,B0100,0.5413761191336267
101.2,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-299.53116330354027,3709.6738427927426,7236.235903248949,922.3096293451182,B0100,11.182298430101072
101.4,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,10252.660479818489,1512.3337869027528,6627.791299318135,577.9614988151964,B0100,0.3726640351390604
101.4,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,-118.54862463176158,3680.152285892804,7244.4022120956115,912.5587925230396,B0100,10.949274982626653
101.60000000000001,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,10361.763657664345,1529.8611672872826,6661.017589770794,575.6731762149745,B0100,0.20427557813244585
101.60000000000001,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,59.97011283647162,3647.513353165283,7252.591927803973,903.4199440455761,B0100,10.718031279838568
101.80000000000001,,,,,,Trajectory,A1001,A0100,AIM-120C-7,ACTIVE,10470.499527471271,1547.1664463322218,6693.946954451589,572.8477235149619,B0100,0.036406678208003626
101.80000000000001,,,,,,Trajectory,A2001,A0200,AIM-120C-7,ACTIVE,236.13459171075803,3612.025180485867,7260.768534498668,894.8563683183563,B0100,10.488715181674342
110.80000000000001,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7931.965012069896,1107.7339781311084,6970.682825165883,346.8829328293526,A0200,24.820615173587512
111.0,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7866.147927912475,1081.8576782915336,6973.322625043939,362.0798807440519,A0200,24.741838614909696
111.2,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7797.392029074448,1055.1641302983078,6976.031277753771,377.23075644077176,A0200,24.660763118862416
111.4,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7725.703745039324,1027.666095431243,6978.807476529581,392.3340488036012,A0200,24.577210539137955
111.60000000000001,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7651.084456047535,999.3961375539169,6981.647062461284,407.3047673356824,A0200,24.49112123810242
111.80000000000001,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7573.496755698457,970.5850541551233,6984.517462857425,422.05860635492735,A0200,24.402452466524235
112.0,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7492.941380686451,941.3060150785052,6987.4093059185925,436.76037751600006,A0200,24.311140127621158
112.2,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7409.42851023762,911.5734598553855,6990.32171916412,451.40874759306723,A0200,24.21717644352779
112.4,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7322.968592368292,881.4012995004935,6993.253929078799,466.00240867495984,A0200,24.12039437598099
112.60000000000001,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7233.572340251224,850.8029537709212,6996.2052378159215,480.54008426670856,A0200,24.020659837898396
112.80000000000001,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7141.2507277404775,819.7913855354017,6999.175003078219,495.0205234179035,A0200,23.91794337779626
113.0,,,,,,Trajectory,B2001,B0200,R-27ER,ACTIVE,7046.014983954881,788.3791371314812,7002.162626330756,509.4424978253973,A0200,23.812248243155327
