Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km,Data_Type
164.0,A1001,A0100,AIM-120C-7,ACTIVE,23044.864005932395,22111.327633009892,8216.1483552655,376.25790742421447,B0100,22.903516263150035,Trajectory
164.0,A1002,A0100,AIM-120C-7,ACTIVE,23158.389537932802,21726.562012673377,8237.946126483845,383.046114997485,B0100,23.189693043661087,Trajectory
164.20000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23074.24225529386,22180.264815454986,8222.44416831974,375.69678807250483,B0100,22.893863005963283,Trajectory
164.20000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23188.206904476716,21796.792030621535,8244.237827659368,382.47290217941116,B0100,23.178836727595918,Trajectory
164.4,A1001,A0100,AIM-120C-7,ACTIVE,23103.553419701995,22249.11273414765,8228.692877659234,375.13833578521445,B0100,22.884444947750094,Trajectory
164.4,A1002,A0100,AIM-120C-7,ACTIVE,23217.95076264929,21866.93273829466,8250.483027458116,381.902564103009,B0100,23.168215309355386,Trajectory
164.60000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23132.799356737512,22317.871203095838,8234.893569694377,374.5824836486564,B0100,22.87527305721478,Trajectory
164.60000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23247.623066033797,21936.98394947225,8256.680809937468,381.3350256621745,B0100,23.157839755050805,Trajectory
164.8,A1001,A0100,AIM-120C-7,ACTIVE,23161.98231203029,22386.53989342897,8241.045670558397,374.02956892316655,B0100,22.866353137194427,Trajectory
164.8,A1002,A0100,AIM-120C-7,ACTIVE,23277.22615412567,22006.945340419275,8262.830596224148,380.7706346591049,B0100,23.1477149685385,Trajectory
165.0,A1001,A0100,AIM-120C-7,ACTIVE,23191.10465688917,22455.118436146375,8247.149055281288,373.47974153485563,B0100,22.857682258939516,Trajectory
165.0,A1002,A0100,AIM-120C-7,ACTIVE,23306.76249078295,22076.816549079747,8268.932252610904,380.20952682975667,B0100,23.137837926906446,Trajectory
165.20000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23220.168666183137,22523.60649693419,8253.20404445977,372.933229965384,B0100,22.849253256423847,Trajectory
165.20000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23336.234442492052,22146.59724615824,8274.986087125442,379.6519172948961,B0100,23.128201208211426,Trajectory
165.4,A1001,A0100,AIM-120C-7,ACTIVE,23249.17713435284,22592.00355438194,8259.211643376164,372.3905490610892,B0100,22.841057104344806,Trajectory
