Time_s,Agent_ID,Type,X_m,Y_m,Z_m,Heading_deg,Pitch_deg,Velocity_m_s
1.6,A0100,F-16,-43954.27467707027,-0.11788586085094721,5943.899825321016,359.6053836969827,-0.8371392480640393,361.2142518966758
1.6,A0200,F-16,-43960.45935500163,610.2586381639776,5959.562638325986,19.218061522901564,3.463642140048291,355.84442108452316
1.6,B0100,F-16,43960.1438272545,3.5269472898635286,5971.136295844124,180.30842806574486,4.809900094808027,359.07032746630796
1.6,B0200,F-16,43960.18572298063,548.6208227492334,5971.112495760266,180.30842806574498,4.809900094807678,359.07032746630875
1.8,A0100,F-16,-43882.08424598622,-0.2556933232190204,5944.118078673751,359.4256073916476,-0.6722140854926352,360.67607277356075
1.8,A0200,F-16,-43891.75446052522,627.9954911828463,5961.503270037112,21.34974762752811,3.2621208151493826,354.05508251744897
1.8,B0100,F-16,43888.604876402,4.365552242034028,5976.893779147031,180.19430994707827,5.2858855350663045,358.6803342874568
1.8,B0200,F-16,43888.64690025103,549.470780463098,5976.869906279237,180.19430994707835,5.2858855350659235,358.68033428745787
2.0,A0100,F-16,-43809.98906261671,-0.4439180844456132,5944.347454011147,359.54119572664524,-0.9007698151868552,360.334004020231
2.0,A0200,F-16,-43824.116290299826,648.305309459105,5963.522811613428,23.519399910471964,3.2010487655671374,352.5639037098707
2.0,B0100,F-16,43817.18713480723,5.250414506388552,5982.946123942624,179.8974451834977,5.3615808871302555,358.0165412109957
2.0,B0200,F-16,43817.22929380096,550.3670025160009,5982.922174299816,179.89744518349772,5.361580887129833,358.0165412109971
2.2,A0100,F-16,-43737.9690477384,-0.6711119460887858,5944.48966281198,359.35939048515087,-0.7406238996710813,359.85410627798325
2.2,A0200,F-16,-43757.518032312924,670.9492482530659,5965.578441962181,25.685517455164483,3.068402542064101,351.20769744999575
2.2,B0100,F-16,43745.96299542037,6.288041076481022,5989.463676883577,179.92413794240255,5.884836710290849,357.3892848427583
2.2,B0200,F-16,43746.00531274198,551.4159995970822,5989.439637298015,179.92413794240264,5.8848367102903385,357.38928484275965
2.4000000000000004,A0100,F-16,-43666.03170766268,-0.955903547732305,5944.640463880825,359.4790932417447,-0.9674711199465291,359.5805850077311
