Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km,Data_Type
43.6,B1001,B0100,R-27ER,ACTIVE,29146.80730575158,739.0997256469395,6001.270994365077,480.58756910673594,A0100,58.4570524732231,Trajectory
43.6,B2001,B0200,R-27ER,ACTIVE,29147.18805456742,1278.8638023893363,6001.183116074653,480.5869880347577,A0100,58.474436074645574,Trajectory
43.800000000000004,B1001,B0100,R-27ER,ACTIVE,29049.395952902352,736.615152831279,6001.270984040802,495.0572166950581,A0100,58.2928867109265,Trajectory
43.800000000000004,B2001,B0200,R-27ER,ACTIVE,29049.8035830423,1275.489727369781,6001.183250673084,495.0564958859661,A0100,58.31035750972443,Trajectory
44.0,B1001,B0100,R-27ER,ACTIVE,28949.086910571452,734.0542170067966,6001.271186687347,509.578694604091,A0100,58.12588332369332,Trajectory
44.0,B2001,B0200,R-27ER,ACTIVE,28949.52227557329,1272.012663626537,6001.183602516952,509.5778164459987,A0100,58.14344182834686,Trajectory
44.2,B1001,B0100,R-27ER,ACTIVE,28845.86990105143,731.416370547859,6001.271619032867,524.151150312825,A0100,57.9560014684992,Trajectory
44.2,B2001,B0200,R-27ER,ACTIVE,28846.333864156386,1268.4319507002137,6001.184188347227,524.1500963006085,A0100,57.973648120594866,Trajectory
44.400000000000006,B1001,B0100,R-27ER,ACTIVE,28739.734819943013,728.7010657484803,6001.27229590027,538.7737012169488,A0100,57.7832604976989,Trajectory
44.400000000000006,B2001,B0200,R-27ER,ACTIVE,28740.228254279693,1264.7469293967881,6001.185022999893,538.7724519505879,A0100,57.80099585835465,Trajectory
44.6,B1001,B0100,R-27ER,ACTIVE,28630.671742260914,725.9077548308138,6001.273231307384,553.445434155378,A0100,57.607619797488766,Trajectory
44.6,B2001,B0200,R-27ER,ACTIVE,28631.19553103079,1260.9569418575088,6001.186120505786,553.443969298383,A0100,57.625444348329474,Trajectory
44.800000000000004,B1001,B0100,R-27ER,ACTIVE,28518.67092853968,723.0358901969577,6001.274437265209,568.165404938244,A0100,57.42909919192945,Trajectory
44.800000000000004,B2001,B0200,R-27ER,ACTIVE,28519.22596520688,1257.061331866147,6001.187492889204,568.1637032160465,A0100,57.44701354713415,Trajectory
45.0,B1001,B0100,R-27ER,ACTIVE,28403.72283113212,720.0849244143695,6001.275924882846,582.9326378947044,A0100,57.24765833831583,Trajectory
45.0,B2001,B0200,R-27ER,ACTIVE,28404.310019615106,1253.0594448968384,6001.189151272508,582.9306770512869,A0100,57.265663020128166,Trajectory
45.2,B1001,B0100,R-27ER,ACTIVE,28285.818100498414,717.0543104661206,6001.277703275383,597.7461253018319,A0100,57.063326444159074,Trajectory
45.2,B2001,B0200,R-27ER,ACTIVE,28286.438355366092,1248.9506284208583,6001.191104784334,597.7438821011842,A0100,57.081422196298135,Trajectory
45.400000000000006,B1001,B0100,R-27ER,ACTIVE,28164.94759180174,713.9435014378834,6001.2797840516,612.6048258906908,A0100,56.87607120189294,Trajectory
45.400000000000006,B2001,B0200,R-27ER,ACTIVE,28165.601838471208,1244.7342316604359,6001.193365045884,612.6022761069572,A0100,56.894258835182825,Trajectory
45.6,B1001,B0100,R-27ER,ACTIVE,28041.102371580644,710.7519505509457,6001.28218703394,627.5076654982448,A0100,56.68589329533988,Trajectory
45.6,B2001,B0200,R-27ER,ACTIVE,28041.79154651453,1240.409605682201,6001.195951889032,627.5047839279138,A0100,56.704173403347724,Trajectory
