time,missile_id,launcher_id,target_id,x,y,z,speed,distance_to_target,guidance_mode
156.0,A1001,A0100,B0100,-6127.98167749001,1061.2401545931828,14601.107780644523,868.7111437015694,33816.03130998982,MID_COURSE
156.0,A2001,A0200,B0100,-22209.96794774627,26874.317724295644,5377.073054852025,467.7987075988449,57232.9227945991,MID_COURSE
158.0,A1001,A0100,B0100,-4427.90121067,823.6607658200604,14402.260562072663,859.4457104451859,31591.65626793865,MID_COURSE
158.0,A2001,A0200,B0100,-21337.976320006754,26575.655147412057,5378.9237629459085,454.1258075297896,55958.815429876406,MID_COURSE
160.0,A1001,A0100,B0100,-2756.2149125475357,548.0245147956165,14170.079588794142,850.7852244058029,29346.075310365977,MID_COURSE
160.0,A2001,A0200,B0100,-20508.95870396342,26236.74193477163,5381.221939893743,441.77949517750073,54650.67751131969,MID_COURSE
162.0,A1001,A0100,B0100,-1110.3371169731158,254.43294894911506,13900.176734775738,842.7780692649611,27084.344966514636,MID_COURSE
162.0,A2001,A0200,B0100,-19718.243814879515,25867.68901462996,5384.396756855287,431.0097632601767,53256.92693184386,MID_COURSE
164.0,A1001,A0100,B0100,512.9591249212472,-33.99971932712002,13589.947444886006,834.7931778565534,24842.58193190376,MID_COURSE
164.0,A2001,A0200,B0100,-18960.11693645795,25477.91466047289,5388.127025088383,421.65547254260787,51826.921572443076,MID_COURSE
166.0,A1001,A0100,B0100,2116.1304280962368,-293.0493226040931,13240.48340011233,826.2814886241899,22657.922527782855,MID_COURSE
166.0,A2001,A0200,B0100,-18227.228195305117,25077.200220642604,5391.416776914652,413.8370806847658,50383.59082465311,MID_COURSE
168.0,A1001,A0100,B0100,3700.7921522610154,-504.6400165800179,12858.971456356054,817.3143760612686,20536.455070004133,MID_COURSE
168.0,A2001,A0200,B0100,-17511.779305361997,24674.727876610177,5394.761764004846,407.13618008259124,48952.876425688046,MID_COURSE
170.0,A1001,A0100,B0100,5266.978245932797,-660.4287589900858,12453.79769938727,807.8270058626382,18526.602958925607,MID_COURSE
170.0,A2001,A0200,B0100,-16807.911969518467,24277.99394476965,5399.374897594911,400.69730915758544,47567.10639625045,MID_COURSE
172.0,A1001,A0100,B0100,6812.706717231805,-755.8439420166812,12029.654737964605,797.8550416456508,16628.81343205012,MID_COURSE
172.0,A2001,A0200,B0100,-16111.497110294806,23895.342043614903,5403.288672345686,393.8582526689741,46234.09114485891,MID_COURSE
174.0,A1001,A0100,B0100,8336.389790285675,-790.7216044301292,11592.874787158073,787.4940349142347,14812.965560062275,MID_COURSE
174.0,A2001,A0200,B0100,-15420.928815195777,23530.981272084115,5408.370274351579,386.91050936991724,44951.44401306604,MID_COURSE
176.0,A1001,A0100,B0100,9835.519929112543,-766.2326003082384,11146.88788109692,776.7511827745625,13103.890407098617,MID_COURSE
176.0,A2001,A0200,B0100,-14735.361567200684,23187.478681209148,5414.828773796338,379.8510228047584,43739.540800253315,MID_COURSE
178.0,A1001,A0100,B0100,11303.500190292989,-672.4266371730538,10693.436681349847,755.5011709074299,11577.966365806176,TERMINAL
178.0,A2001,A0200,B0100,-14054.081617425865,22867.872238683223,5423.594373366626,372.70335761118923,42656.63326116774,MID_COURSE
180.0,A1001,A0100,B0100,12650.171496698862,-332.5323753337349,10200.258261262199,723.8987011285749,10296.95384550973,TERMINAL
180.0,A2001,A0200,B0100,-13376.975557236989,22573.326948297577,5433.1014942124175,365.78406225345685,41742.47540219633,MID_COURSE
182.0,A1001,A0100,B0100,13902.664059270643,164.12175067124764,9722.128331768003,706.8823093295651,9184.067742111201,TERMINAL
182.0,A2001,A0200,B0100,-12704.755238450463,22301.943903955587,5443.559174574093,359.2220967867161,40946.34312329125,MID_COURSE
184.0,A1001,A0100,B0100,15088.45996754551,738.7280461445872,9249.457625158078,693.731866177237,8139.63171871027,TERMINAL
184.0,A2001,A0200,B0100,-12037.796116937754,22052.631333132056,5452.703882792526,352.88595968398613,40153.69045634124,MID_COURSE
186.0,A1001,A0100,B0100,16228.621291029986,1358.9326239665586,8790.285526954762,683.3870142344588,7145.951656822814,TERMINAL
186.0,A2001,A0200,B0100,-11376.26704851109,21824.825350025916,5460.191809907364,346.8256472534855,39389.82168447502,MID_COURSE
188.0,A1001,A0100,B0100,17337.479186906807,2008.7505152923668,8358.184374178758,671.9387323969838,6133.3988102691865,TERMINAL
188.0,A2001,A0200,B0100,-10720.408935013302,21617.842076959852,5467.460152172686,340.9451007126105,38599.294321103,MID_COURSE
190.0,A1001,A0100,B0100,18413.94163272725,2688.2433963674403,7965.9632081716345,660.6552054325922,5088.589150910805,TERMINAL
190.0,A2001,A0200,B0100,-10070.683201690465,21431.16877498076,5478.375601039737,335.14180976223497,37770.90274617693,MID_COURSE
192.0,A1001,A0100,B0100,19458.672313220774,3381.848398163864,7582.627873754722,650.0009215788892,4045.739420133587,TERMINAL
192.0,A2001,A0200,B0100,-9427.626473936452,21263.814810674216,5492.866132790032,329.4809878579673,36923.34432862741,MID_COURSE
