步数,时间(秒),AO(度),TA(度),距离(m),奖励,动作_ego,动作_enm,ego_x,ego_y,ego_z,enm_x,enm_y,enm_z,ego_alt(km),enm_alt(km),relative_alt(km),ego_speed_mach,enm_speed_mach,energy_diff,advantage_score
198,39.6,90.98227674863433,104.70989044526667,6864.230908735261,-0.003413637605987674,"[[0, 0, 0]]","[[0, 0, 0]]",-4.134339695684957,-3398.7006918538686,8951.49211376042,4126.993004752034,2083.219850473688,8538.777619485534,8.95149211376042,8.538777619485534,0.41271449427488527,0.4648323166309986,0.4524370833201276,0.41296239894110265,0
199,39.800000000000004,90.13153123001827,105.6167963480995,6857.056031111427,-0.01828076927368727,"[[0, 0, 0]]","[[0, 2, 0]]",-27.16699474992174,-3381.5973504839826,8964.686068171713,4144.477710748322,2060.5160133563977,8549.888668265403,8.964686068171714,8.549888668265403,0.4147973999063108,0.46387930309910713,0.4515038068658926,0.415044909830975,0
200,40.0,89.06268156022209,106.5434984350483,6848.962867201501,-0.0017603360472548957,"[[0, 0, 0]]","[[0, 2, 0]]",-49.68476133719378,-3363.986218719362,8977.923307401494,4161.346851443834,2037.4492490487958,8561.02529703037,8.977923307401493,8.56102529703037,0.4168980103711224,0.46265290274988563,0.45061496480624763,0.4171387691299966,0
201,40.2,88.00903431389497,107.14101778263124,6839.961519533377,0.0674460404096493,"[[0, 4, 0]]","[[0, 2, 0]]",-71.64122671161795,-3345.8236293952323,8991.13227269546,4177.693548871921,2014.048342369928,8572.095182992123,8.991132272695461,8.572095182992124,0.41903708970333753,0.4611325309843533,0.44999067297717565,0.41925992686348046,0
202,40.400000000000006,87.29602034517467,107.2947081009046,6830.338773680283,0.14112853965119143,"[[0, 4, 0]]","[[0, 0, 0]]",-93.12986718075445,-3327.1716095180386,9004.234373207895,4193.687747173079,1990.4145444155283,8583.019102331533,9.004234373207895,8.583019102331534,0.42121527087636146,0.46039893819830946,0.4487068907096418,0.421449111826135,0
203,40.6,87.0058295012211,107.28545703760454,6820.4545770390205,0.15839270965008723,"[[0, 1, 0]]","[[0, 0, 0]]",-114.32786656409871,-3308.130699088675,9017.209910095266,4209.467670115894,1966.657713202258,8593.736566592945,9.017209910095266,8.593736566592945,0.42347334350232124,0.46061697349995623,0.44733839672407366,0.42373891503783767,0
204,40.800000000000004,87.00704973852521,107.41349025486396,6810.494069396133,0.12552634763260073,"[[0, 0, 0]]","[[0, 0, 0]]",-135.4019861040765,-3288.800226903305,9030.04531779182,4225.003649875328,1942.8048957143164,8604.28113314076,9.03004531779182,8.60428113314076,0.4257641846510616,0.4613635607259323,0.4453627530225023,0.4260842008051302,0
205,41.0,87.14932472786509,107.79044456238044,6800.494497105865,0.07780251162968455,"[[0, 0, 0]]","[[0, 0, 0]]",-156.43735420212352,-3269.2499827207553,9042.730112577301,4240.1743038016875,1918.86444680681,8614.72556686807,9.042730112577301,8.61472556686807,0.4280045457092303,0.46192189545729184,0.4430201850868053,0.4283825799166401,0
206,41.2,87.20427538181862,108.3963165308168,6790.34494912597,0.04250725632340391,"[[0, 0, 0]]","[[0, 0, 0]]",-177.40171603514364,-3249.519331111933,9055.29043993228,4254.883843315682,1894.7618867542437,8625.172808421652,9.05529043993228,8.625172808421652,0.4301176315106279,0.46176531865663006,0.44257802303136196,0.4305013774231341,0
207,41.400000000000006,87.070103606731,109.2095773328514,6779.862816905686,0.01595412659764861,"[[0, 0, 0]]","[[0, 0, 0]]",-198.18161674631438,-3229.612913942043,9067.810527428352,4269.0693092908305,1870.4075742403884,8635.679364831156,9.067810527428351,8.635679364831155,0.4321311625971962,0.4612484423977954,0.442090447940046,0.4325143224863517,0
208,41.6,86.75063515658722,110.21828126345964,6768.870695947911,-0.0072516417609023165,"[[0, 0, 0]]","[[0, 2, 0]]",-218.67878671235349,-3209.4978085195066,9080.385304995267,4282.6311437657605,1845.7785843438426,8646.228290431494,9.080385304995266,8.646228290431495,0.4341570145637714,0.46081603153467104,0.4411233463550792,0.43455086826736355,0
209,41.800000000000004,86.18551599866716,111.21582387982133,6757.208502238187,0.009105529316073557,"[[0, 0, 0]]","[[0, 2, 0]]",-238.79124992327797,-3189.127268689942,9093.074813943089,4295.511522053167,1820.8592696918504,8656.75958526505,9.093074813943089,8.65675958526505,0.43631522867803874,0.4601065649239098,0.44018604626812846,0.43671363905115435,0
210,42.0,85.36083438011849,111.87474508762949,6744.835868849873,0.08637264589579274,"[[0, 0, 0]]","[[0, 1, 0]]",-258.4009521713342,-3168.4449392980214,9105.899130153974,4307.811690143498,1795.6776420740396,8667.195993229298,9.105899130153974,8.667195993229297,0.43870313692467633,0.4590609079690728,0.4395186799307188,0.43909398148544376,0
211,42.2,84.31507544252501,112.13176300004329,6731.805857393117,0.1748669515687311,"[[0, 0, 0]]","[[0, 0, 0]]",-277.4060223124807,-3147.3916603217094,9118.82973695209,4319.703179782293,1770.3107590656034,8677.480599354989,9.11882973695209,8.67748059935499,0.4413491375971006,0.4577196560172798,0.43820718120781377,0.44173938709329086,0
212,42.400000000000006,83.1126741916727,112.33865643177143,6718.162675414936,0.19998358034416697,"[[0, 0, 0]]","[[0, 0, 0]]",-295.73710354166633,-3125.9154170643415,9131.803404936303,4331.289342072914,1744.8479733008353,8687.583699147468,9.131803404936303,8.687583699147469,0.44421970578883396,0.4562211416157048,0.43648287019289644,0.4446144712172906,0
213,42.6,81.99135288523915,112.7324706919927,6703.850828579396,0.17536411912186622,"[[0, 4, 0]]","[[0, 0, 0]]",-313.3766328077927,-3103.995002779143,9144.732441307202,4342.497169929404,1719.3290652086316,8697.574568238668,9.144732441307202,8.697574568238668,0.4471578730685337,0.4545528059322629,0.4343213234918485,0.4475625027173429,0
214,42.800000000000004,81.22734879961882,113.39011782231965,6688.891035537343,0.12476951822182514,"[[0, 4, 0]]","[[0, 0, 0]]",-330.4449386552269,-3081.6852628081433,9157.548792395653,4353.2260850691,1693.7193301888674,8707.579053682766,9.157548792395653,8.707579053682766,0.4499697387128876,0.4537349940716316,0.43377430183569327,0.4503689525576071,0
215,43.0,80.87233698268584,114.19927458883215,6673.359481544168,0.08822589638413092,"[[0, 0, 0]]","[[0, 0, 0]]",-347.1313753589793,-3059.0542745374505,9170.246883216949,4363.387259508107,1667.968145600345,8717.697328069484,9.170246883216949,8.717697328069484,0.4525495551474652,0.45380503813037965,0.4331202408003816,0.4529632510940651,0
216,43.2,80.69358882283316,115.15015682180812,6657.3572468689235,0.05882899327752966,"[[0, 0, 0]]","[[0, 0, 0]]",-363.5775981316747,-3036.176543360678,9182.826273189063,4372.913610820649,1642.0770346271086,8727.93330889995,9.182826273189063,8.72793330889995,0.4548929642891135,0.4536717968877414,0.4323456363656796,0.45531948749955475,0
217,43.400000000000006,80.44548337369547,116.23065790273505,6640.85511559568,0.039581813904931096,"[[0, 0, 0]]","[[0, 2, 0]]",-379.7712355201629,-3013.096875417689,9195.322440712001,4381.739304769331,1616.04711035823,8738.255182668046,9.195322440712001,8.738255182668047,0.45706725804395454,0.45325872043532367,0.43116508485817195,0.45750913075549704,0
218,43.6,80.03268671917316,117.25639479689701,6623.772885119686,0.05680266366006492,"[[0, 0, 0]]","[[0, 2, 0]]",-395.6261044058501,-2989.831079359625,9207.805937647838,4389.835439115567,1589.8768861251158,8748.595775319278,9.207805937647837,8.748595775319277,0.45921016232856005,0.45257216880371154,0.4300895877959101,0.4596598139487167,0
219,43.800000000000004,79.4791644613538,117.92960320376193,6606.126239373184,0.13022411308409687,"[[0, 0, 0]]","[[0, 1, 0]]",-411.06136678798066,-2966.3695319185763,9220.336529811313,4397.3208944420885,1563.571297763738,8758.872945858402,9.220336529811313,8.758872945858402,0.4614635839529111,0.4518986569568699,0.4293760941534593,0.461914035208979,0
220,44.0,78.73462562885139,118.19932175620956,6587.99679046789,0.2164281129975194,"[[0, 0, 0]]","[[0, 0, 0]]",-425.99885170619837,-2942.691369369774,9232.936518762384,4404.37871455417,1537.1695970647618,8769.0215733091,9.232936518762385,8.7690215733091,0.4639149454532845,0.45104505461608807,0.4280032559790552,0.46437578142602476,0
221,44.2,77.78600864561965,118.40684465725026,6569.422601415098,0.2432396312762961,"[[0, 0, 0]]","[[0, 0, 0]]",-440.3451301312389,-2918.768123310738,9245.598083126306,4411.126224595702,1510.7396383087685,8779.004857079088,9.245598083126305,8.779004857079087,0.46659322604721787,0.44993683922964683,0.42622316297371465,0.4670674995723356,0
222,44.400000000000006,76.66526048461532,118.77769023744769,6550.308300329986,0.23006480391900652,"[[0, 0, 0]]","[[0, 0, 0]]",-454.01738993666186,-2894.5677969552366,9258.278808878258,4417.509696995641,1484.331913092572,8788.892234034012,9.258278808878257,8.788892234034012,0.4693865748442452,0.448631801984396,0.42408392248705346,0.46987753243419306,0
223,44.6,75.4252350186208,119.3904574774467,6530.504734900409,0.2031398897332224,"[[0, 0, 0]]","[[0, 0, 0]]",-466.95819862820827,-2870.059785890751,9270.912933035475,4423.43807986837,1457.932396614143,8798.808441743025,9.270912933035476,8.798808441743025,0.47210449129245013,0.44722642365379595,0.4235130636275242,0.4725787584929755,0
224,44.800000000000004,74.11325137823545,120.143404580424,6509.876878030267,0.19248705013183098,"[[0, 0, 0]]","[[0, 0, 0]]",-479.13385264897806,-2845.2207060885376,9283.426868836272,4428.8257490163915,1431.5104656749863,8808.854759521186,9.28342686883627,8.808854759521186,0.4745721093150852,0.4457883731927294,0.4228434751224894,0.47503100727649006,0
225,45.0,72.88633429521313,121.03316872224347,6488.375602523364,0.17326578431259065,"[[0, 4, 0]]","[[0, 0, 0]]",-490.5434297635129,-2820.047811682352,9295.746019708784,4433.61365575728,1405.0788084955345,8819.037102660204,9.295746019708783,8.819037102660204,0.47670891704857965,0.4442610942570121,0.4220676143600359,0.47715278664651883,0
226,45.2,71.84629425920086,122.06493947700326,6466.020229156779,0.14334715042404866,"[[0, 0, 0]]","[[0, 0, 0]]",-501.25982325066707,-2794.572306273336,9307.83425955518,4437.739549502113,1378.6402212421683,8829.33123635449,9.30783425955518,8.82933123635449,0.47850302320069105,0.4430290473851527,0.4211816313734859,0.4789399715209246,0
227,45.400000000000006,70.77480646929955,123.20250398699662,6442.823584075572,0.1263994401134596,"[[0, 0, 0]]","[[0, 2, 0]]",-511.3239214289515,-2768.839948306873,9319.722824490264,4441.149700316484,1352.2012746653074,8839.684818639214,9.319722824490263,8.839684818639215,0.48003800585104806,0.4415843460315141,0.41993702395836613,0.48047095229251013,0
228,45.6,69.48503920229632,124.26059479402363,6418.714910638432,0.15348760501365177,"[[0, 0, 0]]","[[0, 2, 0]]",-520.6357059085594,-2742.897291425084,9331.474406358499,4443.83006686316,1325.7610494816863,8850.024919057598,9.331474406358499,8.850024919057597,0.4814494873009014,0.4396716328577012,0.41884609866211553,0.4818659979848121,0
229,45.800000000000004,68.10233817899177,124.96475022295995,6393.712461872065,0.23236494177542966,"[[0, 0, 0]]","[[0, 1, 0]]",-529.1049342085989,-2716.775219532582,9343.139881448655,4445.901657246836,1299.301032242665,8860.27756896722,9.343139881448655,8.86027756896722,0.4828623124814353,0.43791415959613617,0.4181228775925125,0.4832581381215082,0
230,46.0,66.73161135797663,125.27657796004387,6367.950622134242,0.3157406851583886,"[[0, 0, 0]]","[[0, 0, 0]]",-536.7251214774551,-2690.486728675057,9354.723835493844,4447.5437663957655,1272.8273869760003,8870.386665153861,9.354723835493843,8.87038666515386,0.48433717033998214,0.4362839060132204,0.41669966657429036,0.4847288551287612,0
231,46.2,65.35848343136892,125.53456183294142,6341.549910351363,0.33770752535538406,"[[0, 0, 0]]","[[0, 0, 0]]",-543.5023970602351,-2664.037413626293,9366.19220466032,4448.875232799001,1246.387226532171,8880.321671167687,9.366192204660319,8.880321671167687,0.48587053349263165,0.43478687674298744,0.41486840835465655,0.48626890286039703,0
232,46.400000000000006,63.9878888072097,125.94474992869975,6314.506625874898,0.3212593867219624,"[[0, 0, 0]]","[[0, 0, 0]]",-549.441540431596,-2637.423021314864,9377.491652609448,4449.85643043735,1220.039062320389,8890.14991937183,9.377491652609448,8.89014991937183,0.48734173323761887,0.4334210740314532,0.41270798652586255,0.4877559949877295,0
233,46.6,62.754968007084486,126.57877846630552,6286.768799576017,0.283845809113771,"[[0, 4, 0]]","[[0, 0, 0]]",-554.569768584598,-2610.644963224818,9388.554781544335,4450.404921794554,1193.7853867732717,8899.99062487574,9.388554781544336,8.89999062487574,0.48856415666859654,0.43207492137175146,0.41212929652359837,0.4889630691655604,0
234,46.800000000000004,61.77594181479707,127.32960586719733,6258.334399056017,0.25211759384431787,"[[0, 4, 0]]","[[0, 0, 0]]",-558.9896599794574,-2583.7002097871446,9399.352122574699,4450.443846670031,1167.6096138431617,8909.940620930682,9.3993521225747,8.909940620930682,0.4894115016440175,0.43160676838759177,0.41149010123825097,0.4898138349870038,0
235,47.0,61.10652691741961,128.20152113765502,6229.29029907141,0.208635401910513,"[[0, 0, 0]]","[[0, 0, 0]]",-562.8404473027849,-2556.602801883835,9409.896615667894,4449.927611224979,1141.533758805747,8920.00795809249,9.409896615667895,8.92000795809249,0.48988865757540445,0.43115452718711805,0.4107625680336381,0.4902964967584751,0
236,47.2,60.41510938336997,129.20625100308575,6199.672865751142,0.17781934114405828,"[[0, 0, 0]]","[[0, 0, 0]]",-566.1974517404506,-2529.3854548429217,9420.222175167408,4448.802543434582,1115.572527181755,8930.17455906844,9.420222175167408,8.93017455906844,0.49004761609896796,0.43065775009966595,0.40993249321321246,0.49046212123669797,0
237,47.400000000000006,59.58964047068148,130.3145568851664,6169.42415441495,0.15661050628283135,"[[0, 0, 0]]","[[0, 2, 0]]",-569.0012743212956,-2502.096996765446,9430.403414027505,4447.020801892424,1089.743329309089,8940.395565319539,9.430403414027506,8.94039556531954,0.49000784870796643,0.42990307151518137,0.4087453548754346,0.4904310030407615,0
