Time,Agent,X,Y,Altitude_m,Heading_deg,Speed_mps,Missiles,Status
17.0,B0200,13360651.9152551,6765176.902792182,5308.407418055329,176.47068677439086,180.16371193966208,2,ALIVE
18.0,A0100,13357246.40626188,6682456.777402475,5259.64953709724,339.00368460766833,177.58191734067802,2,ALIVE
18.0,A0200,13358359.606261872,6682456.777402463,5259.649537102917,339.00368460774695,177.5819173407084,2,ALIVE
18.0,B0100,13359581.728518868,6765003.298433725,5259.943970695791,159.49786918987422,177.21581427623312,2,ALIVE
18.0,B0200,13360694.928518884,6765003.29843372,5259.943970698062,159.4978691898638,177.2158142762504,2,ALIVE
19.0,A0100,13357122.239533572,6682618.928517107,5217.998129677409,321.64468136686054,174.92955017273036,2,ALIVE
19.0,A0200,13358235.43953356,6682618.928517094,5217.998129684222,321.64468136693796,174.92955017275972,2,ALIVE
19.0,B0100,13359706.195034252,6764841.02785422,5218.594423695668,142.1019184841595,174.50840705242283,2,ALIVE
19.0,B0200,13360819.395034263,6764841.027854214,5218.594423697939,142.10191848415266,174.5084070524409,2,ALIVE
20.0,A0100,13356931.572273431,6682755.165461908,5160.19077428248,307.9393326597067,173.57247682447414,2,ALIVE
20.0,A0200,13358044.772273425,6682755.1654619,5160.190774287022,307.9393326597623,173.5724768244964,2,ALIVE
20.0,B0100,13359899.396168273,6764704.28243513,5161.939307171765,128.20145452485386,173.05664122660195,2,ALIVE
20.0,B0200,13361012.596168282,6764704.282435126,5161.939307175172,128.2014545248534,173.05664122662225,2,ALIVE
21.0,A0100,13356717.70928664,6682860.049356558,5068.9338539755045,301.7328364300873,174.1904118530255,2,ALIVE
21.0,A0200,13357830.909286631,6682860.049356546,5068.9338539823175,301.7328364300836,174.19041185303834,2,ALIVE
21.0,B0100,13360118.252145203,6764598.85399278,5072.484592709998,121.49899948976729,173.5683793131143,2,ALIVE
21.0,B0200,13361231.452145211,6764598.853992772,5072.484592712269,121.49899948977561,173.56837931313635,2,ALIVE
22.0,A0100,13356537.185724216,6682940.728152034,4939.867778651869,316.42929754966434,176.6293837995078,2,ALIVE
22.0,A0200,13357650.38572421,6682940.728152024,4939.867778657547,316.42929754945885,176.62938379951362,2,ALIVE
22.0,B0100,13360305.508926349,6764518.169451933,4945.261910989362,134.46110806122985,175.923459652132,2,ALIVE
22.0,B0200,13361418.708926361,6764518.169451928,4945.261910990498,134.46110806126165,175.92345965215478,2,ALIVE
23.0,A0100,13356433.636689987,6683016.45031635,4784.979811942855,0.3422416818033641,179.67307439098738,2,ALIVE
23.0,A0200,13357546.836689979,6683016.450316338,4784.979811949667,0.34224168163107577,179.67307439099474,2,ALIVE
23.0,B0100,13360415.691741873,6764443.565255294,4791.396169999159,178.65157806740206,178.9588045350305,2,ALIVE
23.0,B0200,13361528.89174188,6764443.565255286,4791.396170002565,178.651578067438,178.95880453505285,2,ALIVE
24.0,A0100,13356409.122141123,6683111.079906643,4628.6802864106185,11.464832692177422,181.9598351219127,2,ALIVE
24.0,A0200,13357522.322141115,6683111.07990663,4628.6802864185665,11.464832692211168,181.95983512192936,2,ALIVE
24.0,B0100,13360444.085403908,6764351.240035086,4634.685049536619,191.68989369980463,181.3060597105866,2,ALIVE
24.0,B0200,13361557.285403917,6764351.24003508,4634.68504953889,191.68989369981722,181.3060597106081,2,ALIVE
25.0,A0100,13356416.162928853,6683237.698026865,4493.901728980395,2.1210642721468007,182.71811234106457,2,ALIVE
25.0,A0200,13357529.362928843,6683237.698026854,4493.901728988344,2.121064272255194,182.71811234109353,2,ALIVE
25.0,B0100,13360436.625002466,6764227.21453103,4498.371103089541,183.02508875082552,182.14803127058278,2,ALIVE
25.0,B0200,13361549.825002478,6764227.214531028,4498.371103090677,183.02508875083188,182.1480312706035,2,ALIVE
26.0,A0100,13356389.226187993,6683389.11527786,4388.438984629145,344.8142308579873,182.16791547573195,2,ALIVE
26.0,A0200,13357502.43417006,6683389.088637203,4388.450091635371,344.8127357948855,182.0938727177709,2,ALIVE
26.0,B0100,13360459.954916082,6764077.448766429,4391.268282266057,166.0884917914608,181.6558183630541,2,ALIVE
26.0,B0200,13361573.15491609,6764077.448766427,4391.268282267192,166.08849179146378,181.6558183630739,2,ALIVE
27.0,A0100,13356283.343090877,6683542.813378504,4302.815436357021,324.5233708814646,180.8763649844824,2,ALIVE
27.0,A0200,13357396.643606994,6683542.688596116,4302.869985400683,324.52779940479303,180.7146224033009,2,ALIVE
27.0,B0100,13360561.799666034,6763923.640703092,4305.033729796395,145.93509372184033,180.35033003747927,2,ALIVE
27.0,B0200,13361674.999666044,6763923.64070309,4305.033729796395,145.93509372184167,180.35033003749857,2,ALIVE
28.0,A0100,13356095.65378852,6683672.624761297,4215.894370257908,304.7894074055954,180.1122086668433,2,ALIVE
28.0,A0200,13357209.195124188,6683672.3807849735,4216.062673180971,304.7956367934799,179.86573429718842,2,ALIVE
28.0,B0100,13360748.311957153,6763791.972349502,4219.258562594873,126.03581127663887,179.49339138368703,2,ALIVE
28.0,B0200,13361861.511957161,6763791.972349498,4219.258562596008,126.03581127664077,179.493391383706,2,ALIVE
29.0,A0100,13355868.91154351,6683762.383873871,4105.632401867366,289.527073979422,180.80408998540457,2,ALIVE
29.0,A0200,13356982.705630217,6683762.039684217,4106.060585617501,289.4915636179362,180.47300439478303,2,ALIVE
29.0,B0100,13360979.16614566,6763699.6658428805,4111.7895152507635,110.18627064176411,180.02238389267313,2,ALIVE
29.0,B0200,13362092.366145672,6763699.665842875,4111.789515253035,110.18627064177095,180.02238389269294,2,ALIVE
30.0,A0100,13355671.77219816,6683816.417468601,3960.849706528616,289.43261944054075,183.1529815304887,2,ALIVE
30.0,A0200,13356785.535912612,6683815.913380372,3961.6975902773293,289.08007594873385,182.73973553405344,2,ALIVE
30.0,B0100,13361185.60181868,6763644.239195175,3970.309832313502,107.22963753111024,182.2249056385016,2,ALIVE
30.0,B0200,13362298.801818699,6763644.23919517,3970.309832313502,107.22963753114057,182.2249056385219,2,ALIVE
31.0,A0100,13355559.544010054,6683860.66864041,3788.871590126896,356.73482553539833,186.2630973672776,2,ALIVE
31.0,A0200,13356672.909097677,6683859.727662666,3790.1582053376646,356.3457671565146,185.78050040162046,2,ALIVE
31.0,B0100,13361308.711770644,6763601.471626588,3800.3954031404346,170.84185781280172,185.3125911029421,2,ALIVE
31.0,B0200,13362421.911770659,6763601.4716265835,3800.3954031427056,170.84185781287684,185.3125911029619,2,ALIVE
32.0,A0100,13355532.018949823,6683929.651417096,3613.0786529915395,10.344361363308487,188.69149804980668,2,ALIVE
32.0,A0200,13356645.190050079,6683927.85054426,3614.586553338343,10.620525275484258,188.1570864682505,2,ALIVE
32.0,B0100,13361342.46362236,6763536.92047396,3624.156838929221,191.28848920316153,187.84382156554824,2,ALIVE
32.0,B0200,13362455.663622376,6763536.920473956,3624.156838931492,191.28848920317125,187.84382156556626,2,ALIVE
33.0,A0100,13355523.99964647,6684040.528744179,3457.2731649375737,354.8174491559324,189.648861909837,2,ALIVE
33.0,A0200,13356638.119004369,6684037.708729423,3458.727651401487,355.26148816078046,189.07065023288945,2,ALIVE
33.0,B0100,13361348.08716599,6763430.825104568,3465.986607310036,176.92683325622409,188.93656883634,2,ALIVE
33.0,B0200,13362461.287166009,6763430.825104563,3465.986607312307,176.92683325622508,188.9365688363566,2,ALIVE
34.0,A0100,13355455.172205064,6684177.711162927,3328.1069537566427,331.8565206458341,189.46255013912258,2,ALIVE
34.0,A0200,13356571.64186543,6684174.301997246,3329.508832570249,332.4254986435965,188.83542682104317,2,ALIVE
34.0,B0100,13361408.594012367,6763295.537882171,3334.615207872954,154.4491287821501,188.83588802549076,2,ALIVE
34.0,B0200,13362521.794012383,6763295.537882164,3334.615207875225,154.44912878214967,188.8358880255063,2,ALIVE
35.0,A0100,13355290.015843406,6684304.318457794,3211.7357194584492,306.9824492306751,188.92517867952265,2,ALIVE
35.0,A0200,13356409.26971311,6684301.225446061,3213.5697783932183,307.6028333119373,188.21890642253302,2,ALIVE
35.0,B0100,13361566.627262587,6763166.519296083,3218.2882466195674,129.6387776269717,188.23415578485046,2,ALIVE
35.0,B0200,13362679.8272626,6763166.519296074,3218.288246622974,129.63877762697356,188.23415578486606,2,ALIVE
36.0,A0100,13355063.505736401,6684387.798363852,3083.6105567243635,283.9162553906378,189.2904455790017,2,ALIVE
36.0,A0200,13356184.009609772,6684385.738560681,3086.681165104321,284.4259669832902,188.47975472040108,2,ALIVE
36.0,B0100,13361794.424576271,6763077.946345684,3093.1322190056744,106.13474468988738,188.42970641104077,2,ALIVE
36.0,B0200,13362907.624576285,6763077.946345677,3093.1322190079454,106.13474468989476,188.42970641105677,2,ALIVE
37.0,A0100,13354860.34502951,6684424.807015936,2925.8246178502322,269.5375856817867,191.185879507986,2,ALIVE
37.0,A0200,13355979.083326684,6684423.406024025,2930.6764106341393,269.11602944004903,190.26156519400885,2,ALIVE
37.0,B0100,13362009.2885201,6763037.314515613,2939.786337133688,89.38383150410891,190.1140332867681,2,ALIVE
37.0,B0200,13363122.488520117,6763037.314515605,2939.7863371382296,89.38383150412385,190.11403328678406,2,ALIVE
