步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
22,0.361626785,179.5695869,3394.975881,0.002103489,"[[20, 31, 5, 0]]","[[19, 25, 29, 1]]"
23,0.308298784,179.6914675,3302.793374,0.002051495,"[[18, 10, 15, 0]]","[[19, 25, 29, 1]]"
24,0.268351264,179.8246787,3210.764942,0.002025138,"[[18, 5, 15, 0]]","[[19, 25, 29, 1]]"
25,0.232508375,179.9699535,3118.857209,0.002008441,"[[17, 5, 40, 0]]","[[19, 25, 29, 1]]"
26,0.132515826,179.8759628,3027.079914,0.001882495,"[[20, 34, 32, 0]]","[[19, 25, 29, 1]]"
27,0.039180493,179.7383904,2935.432527,0.001771129,"[[20, 34, 32, 0]]","[[11, 25, 40, 20]]"
28,0.023152114,179.5877176,2843.90872,0.001797934,"[[20, 34, 8, 0]]","[[11, 7, 40, 26]]"
29,0.060979899,179.3153041,2752.464805,0.001922324,"[[18, 10, 6, 0]]","[[11, 7, 40, 26]]"
30,0.128726738,178.8388494,2661.058478,0.002102916,"[[18, 10, 4, 0]]","[[27, 7, 40, 26]]"
31,0.202808358,178.4253116,2569.529458,0.002299092,"[[25, 18, 6, 0]]","[[27, 7, 32, 26]]"
32,0.256634653,178.0565107,2477.768164,0.002465043,"[[22, 18, 40, 0]]","[[27, 7, 32, 26]]"
33,0.326850175,177.8454083,2385.879777,0.002665246,"[[22, 13, 21, 0]]","[[27, 7, 40, 26]]"
34,0.35720517,177.9033182,2293.945646,0.002802141,"[[22, 10, 8, 0]]","[[24, 7, 40, 26]]"
35,0.320895141,178.1262145,2202.074007,0.002829624,"[[22, 37, 8, 0]]","[[24, 33, 40, 19]]"
36,0.28115145,178.2981137,2110.274062,0.00285894,"[[22, 37, 8, 0]]","[[24, 33, 40, 19]]"
37,0.270404569,178.4024433,2018.41162,0.002947914,"[[22, 10, 19, 0]]","[[2, 33, 40, 19]]"
38,0.135450457,178.5435253,1926.596879,0.002830309,"[[12, 13, 20, 0]]","[[2, 7, 40, 19]]"
39,0.023805551,178.7560059,1835.082942,0.002764737,"[[7, 37, 20, 0]]","[[2, 7, 40, 19]]"
40,0.08585106,178.9429216,1743.945347,0.003015258,"[[10, 28, 33, 0]]","[[24, 7, 40, 19]]"
41,0.20288141,179.1690157,1653.004981,0.00337706,"[[27, 10, 7, 3]]","[[24, 7, 40, 19]]"
42,0.110068348,179.5801489,1562.10978,0.003390857,"[[27, 34, 32, 1]]","[[24, 7, 40, 19]]"
