Time,Agent,X,Y,Z,Heading,Altitude,Velocity,Phase,Status
1.0,A0200,-44173.3847743442,558.4980608668484,5964.675540564285,0.002803482201922958,6117.388697692958,359.1620177237553,NLT_MELD,ALIVE
1.0,B0100,44174.7710811592,-0.030238016059229267,5943.399411072729,180.00208779571562,6096.092197982213,361.65926830071123,NLT_MELD,ALIVE
1.0,B0200,44174.81243441086,545.0286754603148,5943.375919155118,180.00208779571568,6096.092197982213,361.6592683007114,NLT_MELD,ALIVE
1.2000000000000002,A0100,-44101.59531934422,0.040431493951473385,5960.490634094136,0.003326644548569527,6112.683635791969,358.52552219571476,NLT_MELD,ALIVE
1.2000000000000002,A0200,-44102.13665441815,558.4984470012896,5974.464569500813,0.0037046854572264877,6126.6853421298,357.96856079484115,NLT_MELD,ALIVE
1.2000000000000002,B0100,44102.50033599953,-0.04064514225865423,5943.738741920719,180.00272259065875,6095.932323868794,361.02936108253425,NLT_MELD,ALIVE
1.2000000000000002,B0200,44102.54168850726,545.0292650699339,5943.715250427864,180.00272259065878,6095.932323869929,361.0293610825346,NLT_MELD,ALIVE
1.4000000000000001,A0100,-44030.232532815586,0.05228656938925269,5966.860841176902,0.004205369968604591,6118.561550306198,357.44248808890484,NLT_MELD,ALIVE
1.4000000000000001,A0200,-44031.38195186105,558.500477546102,5985.923727153302,0.004685434695888198,6137.656271771354,356.751730938988,NLT_MELD,ALIVE
1.4000000000000001,B0100,44030.35319109095,-0.05247279046852782,5944.00850059927,180.0034107960962,6095.7045482404865,360.4206537839623,NLT_MELD,ALIVE
1.4000000000000001,B0200,44030.394542636335,545.0284094031649,5943.985009653108,180.0034107960962,6095.7045482416215,360.42065378396285,NLT_MELD,ALIVE
1.6,A0100,-43959.17111518287,0.06557558478380088,5974.111739756167,0.005146256240035292,6125.323006737354,356.36405519275326,NLT_MELD,ALIVE
1.6,A0200,-43961.16322245097,558.5041253700692,5999.0276569996695,0.005733082488171148,6150.276407442347,355.51326905779274,NLT_MELD,ALIVE
1.6,B0100,43958.32508591022,-0.06569330711863586,5944.206715383261,180.00414519781577,6095.406863845629,359.8371690144172,NLT_MELD,ALIVE
1.6,B0200,43958.366436280114,545.0261366367267,5944.183225103796,180.0041451978158,6095.406863845629,359.837169014418,NLT_MELD,ALIVE
1.8,A0100,-43888.42010334444,0.0802798394288402,5982.233022918621,0.006139785672916476,6132.957750621879,355.29523141959857,NLT_MELD,ALIVE
1.8,A0200,-43891.521072481024,558.509362661247,6013.749207168476,0.006836447853878889,6164.518859509564,354.2560166809347,NLT_MELD,ALIVE
1.8,B0100,43886.41057980326,-0.08028322025711532,5944.331608216136,180.0049195339759,6095.037451262891,359.2836890988189,NLT_MELD,ALIVE
1.8,B0200,43886.45192878708,545.022470911681,5944.308118726214,180.0049195339759,6095.037451264027,359.2836890988199,NLT_MELD,ALIVE
2.0,A0100,-43817.987156313924,0.09638187623932026,5991.2142717449315,0.007177614085670652,6141.455405685425,354.2417506659668,NLT_MELD,ALIVE
2.0,A0200,-43822.494159951115,558.5161599897438,6030.060016980697,0.007985730868127436,6180.355514560247,352.9834070767716,NLT_MELD,ALIVE
