Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg,Altitude_m,Phase
1.4000000000000001,B0200,44102.12698057071,544.6325240673759,5943.0778821060885,360.6688679417219,180.26441312206418,-0.7642169876609834,-1.9421153648875666,5943.0778821060885,APPROACH
1.6,A0100,-44037.27357998959,-47.1226144598113,5970.296133825726,353.876271676409,340.27911048544564,2.3058861025877304,-97.85998391810685,5970.296133825726,APPROACH
1.6,A0200,-44034.434669212766,577.976874133732,5933.35812108348,349.5662270028125,13.721268078899488,1.8979048091978412,81.24137731781343,5933.35812108348,APPROACH
1.6,B0100,44029.625024238936,1.3691675027403107,5946.9768622468655,361.45884477278264,179.62318348470635,-0.447615855763063,-8.007084477285664,5946.9768622468655,APPROACH
1.6,B0200,44030.092888633335,544.5459193196511,5943.19588005629,359.67908601834984,180.20836013177708,-1.1003162779293612,3.6472590734928914,5943.19588005629,APPROACH
1.8,A0100,-43968.52433859796,-63.110669147241424,5972.329407688932,352.3118990338176,338.7154796997614,2.3578665846375246,-78.58601823933907,5972.329407688932,APPROACH
1.8,A0200,-43965.52795478234,588.8669126515488,5933.339031982332,348.1640849729858,15.855569606213777,1.7074023805296044,87.3629411761134,5933.339031982332,APPROACH
1.8,B0100,43957.39215808526,1.7955280626811145,5947.681178781055,360.8975231254241,179.40707490187876,-0.310789678542141,-10.944702389147912,5947.681178781055,APPROACH
1.8,B0200,43958.27199498828,544.4410760330866,5943.161874091253,358.5124774750636,179.9962411073588,-0.8721822598900355,0.48268934471190933,5943.161874091253,APPROACH
2.0,A0100,-43900.68860199375,-81.49337467724399,5974.462696594957,350.90319770429284,337.09263633355636,3.3464940610577014,-58.61266190546853,5974.462696594957,APPROACH
