Time_s,Agent_ID,Type,X_m,Y_m,Z_m,Heading_deg,Pitch_deg,Velocity_m_s,Tactical_Phase
117.80000000000001,B0200,F-16,1646.8981374978707,-904.8028950433938,4071.516060487436,174.92509830856767,-0.20176273188794244,338.2132663360219,TR_DOR
118.0,A0100,F-16,-27135.352333796025,1226.8636890696816,5914.738179032502,178.01801421307323,-1.644089245738469,242.87979844197795,TR_DOR
118.0,A0200,F-16,-26808.91250211479,-483.00998902632637,6006.517722598556,181.26593573063067,6.648852442649074,164.49646885210294,TR_DOR
118.0,B0100,F-16,2732.4804136624093,9566.151821150963,3020.9315660370457,153.87691899290778,-0.1946006014881627,340.73022690878804,TR_DOR
118.0,B0200,F-16,1579.5129622317766,-899.0445770805662,4072.267759220302,174.76302900138782,0.06681377410553575,338.0652773750345,TR_DOR
118.2,A0100,F-16,-27183.869201125188,1227.983816599557,5915.011388066305,177.71326935049566,-4.764319757685349,242.43698835290922,TR_DOR
118.2,A0200,F-16,-26841.823972886985,-483.8953210603959,6007.229195977409,181.49992065689247,3.2132900665860347,164.81772674333905,TR_DOR
118.2,B0100,F-16,2671.7392320872827,9597.210846758864,3019.5033404813557,154.21165871092325,-0.8453069155418819,341.64416306793476,TR_DOR
118.2,B0200,F-16,1512.1654908351557,-893.2558778122805,4073.124578462954,174.85133403597968,-0.1185004207346527,338.0333861275128,TR_DOR
118.4,A0100,F-16,-27232.28874574839,1229.1328979700684,5914.39185423197,178.17312221418916,-6.656334083696705,241.96945520175584,TR_DOR
118.4,A0200,F-16,-26874.800536508174,-484.79128731400124,6007.632001436786,181.43252416591068,-0.18993351969248437,165.06908194820915,TR_DOR
118.4,B0100,F-16,2610.752246662962,9628.186784326406,3017.752728992067,154.19329994139315,-1.7171928266462897,342.6147040939144,TR_DOR
118.4,B0200,F-16,1444.8128004268788,-887.4291623293282,4073.841313348997,174.79108026362834,-0.3772935984862514,338.03765682048913,TR_DOR
118.60000000000001,A0100,F-16,-27280.60960948503,1230.2626469479765,5912.796044279764,178.00790774378513,-4.3050558697561705,241.63339314978109,TR_DOR
118.60000000000001,A0200,F-16,-26907.815220160566,-485.6986776619069,6007.670040588417,181.0083234017893,-3.4595081016859233,165.16357752470532,TR_DOR
118.60000000000001,B0100,F-16,2549.522431758002,9659.096512520102,3015.6220233828735,153.7184458347694,-2.456448737695028,343.6121508581729,TR_DOR
118.60000000000001,B0200,F-16,1377.4494742458455,-881.5740369427716,4074.337683515889,174.78096606677946,-0.5813100264312339,338.1651411163345,TR_DOR
118.80000000000001,A0100,F-16,-27328.924392896,1231.4357396489158,5911.032786211182,177.98409458001285,-0.22882838834916006,242.13771258076918,TR_DOR
118.80000000000001,A0200,F-16,-26940.823811394344,-486.60264291853855,6007.326911182348,180.59727616276783,-6.425915190263477,165.0467535398921,TR_DOR
118.80000000000001,B0100,F-16,2488.083756528531,9689.997403528267,3013.0181061573585,153.0225486167458,-2.754803477300175,344.5957200961676,TR_DOR
118.80000000000001,B0200,F-16,1310.0793270724048,-875.7078134789288,4074.6699455121366,174.62680429612632,-0.2996945529088623,338.02293494167117,TR_DOR
119.0,A0100,F-16,-27377.38637864885,1232.639884252023,5909.457575756337,178.02934497907526,3.7435417299964735,242.8536993107497,TR_DOR
119.0,A0200,F-16,-26973.786078546025,-487.4827535440654,6006.477744247028,180.7208951939512,-8.602573189957736,164.8040239057898,TR_DOR
